case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:41:314,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:19:09:002,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:17:24:880,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:47:25:543,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:05:36:893,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:04:54:720,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:51:314,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:22:43:168,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:20:06:190,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 17:00:19:151,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:55:17:150,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:48:00:130,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:27:48:291,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:01:314,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:53:29:564,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:44:44:850,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:33:47:244,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:07:19:077,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:57:31:232,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:11:314,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:55:13:115,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:43:18:632,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:19:25:353,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 16:47:17:132,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:35:00:455,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:32:06:237,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:21:314,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:34:59:322,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:20:33:251,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:18:36:174,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:51:10:315,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:41:22:983,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:31:314,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:23:11:730,Roy,normal,normal,"-"
