case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:54:800,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:41:14:637,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:39:12:525,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:22:22:840,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:17:10:172,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 21:16:43:448,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:04:800,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:58:53:833,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:45:21:672,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:23:13:072,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:22:47:881,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 21:09:17:596,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:57:37:661,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:14:800,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:52:14:678,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:41:31:668,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:15:57:253,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:39:43:930,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:25:01:071,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:24:800,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:25:53:113,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:20:27:158,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:01:54:075,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:29:20:470,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:14:55:580,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:02:08:119,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:34:800,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:50:45:511,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:48:02:369,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:31:29:400,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:51:22:681,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:45:54:230,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:44:800,Della,normal,normal,"-"
