case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:43:081,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:00:53:727,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:48:10:416,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:39:01:689,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:29:31:623,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:15:33:975,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:53:081,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:22:11:336,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:21:09:276,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 17:16:37:059,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:40:25:024,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:34:06:286,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:23:36:819,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:03:081,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:25:21:261,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:23:36:891,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 17:05:16:539,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:49:27:504,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:41:47:231,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:13:081,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:12:53:081,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:07:34:300,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:44:40:021,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:28:54:727,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:27:43:547,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:03:40:692,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:23:081,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:26:57:281,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:16:46:156,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:14:19:344,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:49:46:378,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:38:11:628,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:33:081,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:23:27:713,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:11:58:959,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:06:06:621,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:57:06:554,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:49:35:885,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
