case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:59:905,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:41:00:780,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:38:54:123,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:13:30:016,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:48:11:651,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:37:43:430,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:09:905,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:37:51:948,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:29:32:826,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:21:10:073,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:00:53:984,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:47:22:747,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:45:53:368,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:19:905,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:46:19:684,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:38:32:822,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:34:45:916,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:05:38:102,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:57:20:888,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:29:905,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:58:39:265,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:52:56:788,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:45:47:162,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:19:13:913,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:11:32:661,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:46:24:308,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:39:905,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:36:27:611,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:24:00:630,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:20:15:261,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 16:51:09:119,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 17:50:56:649,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:49:905,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:51:10:928,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:44:30:053,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:31:59:252,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:05:17:224,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 17:56:05:850,Gema,normal,normal,"-"
6,7,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:10:59:905,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 15:10:08:076,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:59:25:636,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:47:32:525,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:25:27:789,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:22:40:785,Grayce,normal,normal,"-"
7,7,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:09:905,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 14:42:12:551,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:41:17:021,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:36:53:298,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:33:46:945,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:19:52:441,Deloras,normal,normal,"-"
8,7,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:19:905,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 14:44:53:066,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:36:31:166,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:08:43:454,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:05:56:550,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:02:05:376,Deloras,normal,normal,"-"
9,7,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:29:905,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 14:37:16:530,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 15:37:12:288,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 16:25:03:833,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 16:51:18:685,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 17:42:06:312,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 18:39:23:856,Deloras,normal,normal,"-"
10,8,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:39:905,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 14:45:55:256,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 15:33:36:594,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:29:47:731,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 16:59:13:530,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 17:58:07:282,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 18:51:12:332,Tiffiny,normal,normal,"-"
11,8,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:11:49:905,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 14:34:04:656,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 15:24:38:723,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 15:57:18:405,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 16:53:27:194,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 17:45:06:980,Deloras,normal,normal,"-"
12,7,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:11:59:905,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 14:54:58:396,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 15:47:52:065,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 16:43:35:267,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 17:38:53:857,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 18:28:13:442,Melany,normal,normal,"-"
13,7,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
