case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:51:349,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:31:38:984,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:29:49:861,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:17:16:335,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:49:01:469,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:37:04:651,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:01:349,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:26:29:274,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:11:58:829,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:10:35:561,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 19:41:59:810,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 20:32:14:773,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:17:29:320,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:11:349,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 18:03:06:270,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:49:45:262,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:41:25:000,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:58:58:138,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:45:00:764,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:21:349,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:27:59:731,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:17:50:743,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:01:55:542,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 20:01:00:490,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:59:36:000,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:50:02:516,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:31:349,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:30:01:959,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:21:14:700,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:05:04:510,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:54:44:201,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:51:42:642,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:41:349,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 18:01:15:834,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:51:45:834,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:29:48:923,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:17:11:844,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 21:13:08:327,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:51:349,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:30:34:183,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:20:35:374,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:01:41:707,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:46:09:442,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:32:36:209,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:01:349,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:50:12:136,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:39:23:595,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:33:52:300,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 20:32:57:484,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 21:21:48:192,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:11:349,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:46:25:916,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:41:56:378,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:36:37:053,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 20:08:14:214,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 21:05:41:726,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:21:349,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:30:27:833,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:25:21:595,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 18:59:42:160,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:55:08:936,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:54:53:591,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 21:44:33:608,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:31:349,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 17:38:25:418,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:25:13:537,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:07:14:151,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 20:04:21:543,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 20:56:17:158,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 21:54:49:652,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:41:349,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 17:31:11:055,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 18:28:49:933,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 19:15:19:833,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 20:14:57:041,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 21:08:57:495,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:51:349,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 17:59:38:592,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 18:44:59:264,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 19:18:42:506,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 20:18:24:069,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 21:07:52:601,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:10:01:349,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 17:59:03:950,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 18:57:24:046,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 19:31:06:732,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 19:53:53:280,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 20:51:03:955,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:10:11:349,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 17:46:44:536,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 18:37:19:601,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 19:33:07:263,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 20:30:12:241,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 21:24:07:906,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 22:01:02:516,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:10:21:349,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 17:47:35:773,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 18:33:37:967,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 19:07:51:153,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 19:41:50:049,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 20:38:24:691,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:10:31:349,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 17:29:36:584,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 18:18:33:551,Hoyt,normal,normal,"-"
17,4,Activity AF,2020-06-27 19:03:16:025,Rossie,normal,normal,"-"
17,5,Activity O,2020-06-27 19:30:16:684,Hoyt,normal,normal,"-"
17,6,Activity B,2020-06-27 20:29:44:153,Tiffiny,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:10:41:349,Della,normal,normal,"-"
18,2,Activity N,2020-06-27 17:40:19:599,Hoyt,normal,normal,"-"
