case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:39:218,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:30:33:931,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:27:24:630,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 17:25:21:821,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:54:58:851,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:47:43:913,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:49:218,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:05:54:860,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:56:18:113,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:30:56:928,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 16:50:52:003,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:43:40:810,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:25:47:443,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:59:218,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:10:49:413,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:06:57:567,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:59:57:940,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:56:40:527,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:55:31:492,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:09:218,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:31:09:495,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:17:27:647,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 17:02:40:566,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:55:47:455,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:44:01:642,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:32:02:448,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:19:218,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:20:17:777,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:12:44:660,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:07:34:951,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:48:46:220,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:38:15:184,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:29:218,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:18:38:332,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:09:46:080,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:01:05:488,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:22:47:030,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:16:46:073,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:39:218,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 15:27:59:632,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 16:27:18:699,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 17:02:10:945,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:26:18:344,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:22:11:954,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:49:218,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:33:26:498,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 16:28:34:051,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 17:16:59:282,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 18:09:28:104,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 19:06:57:454,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:37:59:218,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 14:55:03:119,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:43:15:579,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:20:00:610,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 16:38:00:050,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 17:27:52:344,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:09:218,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:17:46:065,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 16:08:05:653,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 16:51:33:657,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 17:34:13:389,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 18:32:11:159,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 19:21:45:852,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:19:218,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 15:00:44:015,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 15:50:24:696,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:35:48:488,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 17:15:26:629,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 18:13:33:135,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 19:10:50:539,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:38:29:218,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 15:07:01:691,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 16:03:00:942,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 16:52:01:607,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 17:09:06:940,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 18:05:44:189,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:38:39:218,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 15:23:56:792,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 16:21:29:792,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 17:09:51:036,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 18:03:38:390,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 19:01:07:228,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:38:49:218,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 15:16:19:808,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 16:14:47:191,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 17:04:48:242,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 17:28:49:476,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 18:14:01:956,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:38:59:218,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 15:02:55:653,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 15:59:13:260,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 16:46:15:026,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 17:05:53:302,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 18:00:44:542,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 18:42:06:159,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:39:09:218,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 15:11:13:486,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 15:57:18:957,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 16:44:34:227,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 17:13:07:907,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 18:12:43:716,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:39:19:218,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 15:23:31:858,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 16:22:38:216,Hoyt,normal,normal,"-"
