case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:52:685,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:26:54:030,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:25:08:199,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:19:49:291,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:03:45:386,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:59:34:966,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:02:685,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:34:05:196,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:25:50:141,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:24:12:777,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:18:38:033,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:14:03:704,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:47:58:503,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:12:685,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:59:13:812,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:49:09:629,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:21:38:861,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 16:56:44:489,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:49:41:634,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:22:685,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:39:36:258,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:34:46:656,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:27:00:245,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 16:53:29:885,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:42:23:411,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:21:38:067,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:32:685,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:43:07:906,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:37:34:748,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:29:39:097,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:21:40:492,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:20:59:804,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:42:685,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:38:51:477,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:27:35:898,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:26:07:758,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:09:07:440,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:07:37:988,Gema,normal,normal,"-"
6,7,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:10:52:685,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 14:36:49:620,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:34:42:288,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:20:13:340,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 16:57:09:872,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 17:45:55:588,Grayce,normal,normal,"-"
7,7,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:02:685,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 14:33:17:679,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:22:40:147,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:08:16:150,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 16:32:48:988,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 17:25:20:872,Deloras,normal,normal,"-"
8,7,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:12:685,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 14:47:10:331,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:37:52:746,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:31:44:615,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 16:53:52:177,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 17:46:08:668,Deloras,normal,normal,"-"
9,7,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:22:685,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:10:34:790,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 15:56:22:115,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 16:31:15:563,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 16:47:47:879,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 17:40:11:951,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 18:11:07:907,Deloras,normal,normal,"-"
10,8,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:32:685,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 15:06:19:879,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 16:04:16:311,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:59:21:059,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 17:27:24:560,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 18:15:59:442,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 19:13:21:001,Tiffiny,normal,normal,"-"
11,8,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:11:42:685,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 15:01:47:170,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 15:47:35:360,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 16:35:19:344,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 17:27:11:090,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 18:15:00:597,Deloras,normal,normal,"-"
12,7,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:11:52:685,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 14:53:24:361,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 15:48:12:500,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 16:36:20:290,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 16:59:51:535,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 17:53:34:957,Melany,normal,normal,"-"
13,7,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:12:02:685,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 14:49:30:333,Roseanne,normal,normal,"-"
