case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:54:050,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:24:13:184,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:20:05:964,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 18:51:05:250,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:34:04:119,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:33:59:003,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:04:050,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:53:18:516,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:39:53:475,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:33:19:225,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:00:26:584,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 20:55:59:116,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:40:30:789,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:14:050,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 18:01:47:147,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:58:45:417,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:47:39:007,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:32:28:244,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:22:12:253,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:24:050,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 18:01:45:038,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:49:34:969,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:27:44:694,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:57:49:803,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:49:16:935,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:25:40:164,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:34:050,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:49:59:307,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:49:38:428,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:20:59:708,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 20:16:20:222,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 21:10:40:253,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:44:050,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:47:33:339,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:46:56:411,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:25:27:246,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:14:01:334,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 21:09:25:984,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:54:050,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:34:04:755,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:27:10:940,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:05:42:298,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:31:39:104,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:16:50:204,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:04:050,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 18:01:17:778,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:46:35:498,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:45:21:933,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 20:01:45:949,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 20:52:59:464,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:14:050,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:58:10:645,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:51:15:038,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:48:27:147,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 20:14:44:549,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 21:14:24:607,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:24:050,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:42:13:119,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:37:27:435,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:17:39:658,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 20:12:46:913,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 21:08:39:951,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 21:47:03:140,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:34:050,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 17:46:13:906,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:31:44:543,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:17:08:564,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 20:03:03:467,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 20:53:21:755,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 21:48:54:802,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:44:050,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 17:53:40:275,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 18:40:44:714,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 19:34:55:001,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 20:12:49:592,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 21:05:36:964,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:54:050,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 17:38:33:389,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 18:29:33:354,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 19:12:36:580,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 20:06:29:359,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 21:04:45:681,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:10:04:050,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 17:28:39:748,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 18:26:32:747,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 19:03:19:235,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 19:36:43:540,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 20:30:51:304,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:10:14:050,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 18:08:25:515,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 19:03:28:662,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 20:00:08:557,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 20:42:27:610,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 21:29:19:457,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 22:03:55:318,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:10:24:050,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 17:55:39:317,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 18:42:13:797,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 19:31:01:997,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 19:46:33:396,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 20:45:56:019,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:10:34:050,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 17:46:42:598,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 18:43:13:149,Hoyt,normal,normal,"-"
17,4,Activity AF,2020-06-27 19:22:36:102,Rossie,normal,normal,"-"
17,5,Activity O,2020-06-27 20:04:02:896,Hoyt,normal,normal,"-"
17,6,Activity B,2020-06-27 20:56:19:819,Tiffiny,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:10:44:050,Della,normal,normal,"-"
18,2,Activity N,2020-06-27 18:04:20:533,Hoyt,normal,normal,"-"
18,3,Activity R,2020-06-27 18:52:09:179,Carmella,normal,normal,"-"
18,4,Activity T,2020-06-27 19:25:47:714,Iluminada,normal,normal,"-"
18,5,Activity S,2020-06-27 20:19:36:604,Sandra,normal,normal,"-"
18,6,Activity O,2020-06-27 21:18:37:758,Shandi,normal,normal,"-"
18,7,Activity B,2020-06-27 22:11:38:085,Grayce,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:10:54:050,Della,normal,normal,"-"
19,2,Activity N,2020-06-27 17:50:48:191,Roy,normal,normal,"-"
19,3,Activity AE,2020-06-27 18:37:46:614,Hoyt,normal,normal,"-"
19,4,Activity AF,2020-06-27 19:16:47:811,Rossie,normal,normal,"-"
19,5,Activity O,2020-06-27 19:39:58:674,Junior,normal,normal,"-"
19,6,Activity B,2020-06-27 20:34:45:866,Grayce,normal,normal,"-"
19,7,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:11:04:050,Della,normal,normal,"-"
