case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:58:285,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:31:53:618,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:22:23:427,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:06:15:691,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:58:31:346,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:48:23:442,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:08:285,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:48:25:468,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:43:44:178,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:31:07:831,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:19:21:321,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:10:51:578,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:42:07:506,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:18:285,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:38:09:604,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:38:06:616,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:21:58:108,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 16:55:38:899,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:47:56:551,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:28:285,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:45:52:532,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:39:47:923,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:22:02:253,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:02:26:666,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:57:48:820,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:50:01:892,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:38:285,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:34:17:093,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:20:14:468,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:12:40:897,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 16:53:04:654,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 17:51:21:751,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:48:285,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:06:35:989,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:56:45:352,Hoyt,normal,normal,"-"
