case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:54:488,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:25:32:744,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:24:46:003,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:16:01:702,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:09:33:114,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 21:09:24:153,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:49:48:202,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:04:488,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:49:41:715,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:46:50:704,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:14:488,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:28:28:217,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:26:45:231,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity BC,2020-06-27 17:07:24:488,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
4,2,Activity A,2020-06-27 17:41:26:927,Seth,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
4,3,Activity B,2020-06-27 18:37:26:214,Tiffiny,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:34:488,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:59:20:650,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:46:57:745,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
