case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:01:901,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:41:19:236,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:40:44:320,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:11:45:893,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:35:17:190,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:32:22:773,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:06:50:296,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:11:901,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 18:03:07:572,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:49:28:658,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:21:901,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:54:25:500,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:46:47:244,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Random activity 47,2020-06-27 17:07:31:901,Random user 44,normal,anomalous,"-"
4,2,Activity A,2020-06-27 17:48:56:061,Seth,normal,anomalous,"-"
4,3,Activity BC,2020-06-27 18:36:51:295,Micheline,normal,anomalous,"-"
4,4,Activity B,2020-06-27 19:21:52:390,Tiffiny,normal,anomalous,"-"
4,5,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:41:901,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:26:40:889,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:23:37:968,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:51:901,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:37:43:936,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:30:41:941,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:01:901,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:31:10:344,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:26:09:708,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:11:901,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:28:21:026,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:23:02:607,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 18:55:56:216,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 19:33:56:854,James,normal,normal,"-"
8,6,Activity S,2020-06-27 20:29:29:271,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 21:04:28:784,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:21:901,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:28:01:243,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:18:51:392,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:15:57:544,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 19:51:15:508,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 20:43:29:985,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:25:44:544,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:31:901,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:30:10:009,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:29:12:034,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:05:56:194,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 19:53:29:356,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 20:47:18:663,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 21:39:10:280,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 22:17:44:027,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:41:901,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 17:54:27:497,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 18:42:46:555,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 19:39:32:324,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 20:03:37:868,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 20:49:10:696,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 21:46:38:357,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 22:32:27:448,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:51:901,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 17:25:04:567,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 18:21:32:506,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:01:901,Sharee,normal,normal,"-"
