case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:51:257,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:24:00:820,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:16:43:076,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:16:41:262,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:32:08:233,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:19:02:306,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 20:53:41:851,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:01:257,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:51:59:110,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:51:16:056,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:11:257,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:31:45:741,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:30:59:944,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:21:257,Seth,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
4,2,Activity B,2020-06-27 18:06:30:658,Tiffiny,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
4,3,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:31:257,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:35:53:270,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:25:18:347,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:41:257,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:40:28:678,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:40:01:072,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:51:257,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:48:36:004,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:43:58:978,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:01:257,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 18:03:50:394,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:58:50:681,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:51:50:850,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 20:48:37:211,James,normal,normal,"-"
8,6,Activity S,2020-06-27 21:46:22:691,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 22:42:44:579,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:11:257,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 18:00:18:072,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:56:07:620,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:54:27:566,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 20:17:27:530,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 21:05:11:848,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:36:12:124,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:21:257,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:36:27:786,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:27:08:560,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:05:43:130,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 19:33:11:983,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 20:30:18:539,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 21:13:19:041,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 21:37:10:212,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:31:257,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 17:35:29:704,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 18:23:51:834,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 19:02:27:112,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 19:31:44:040,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 20:23:33:986,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 21:06:00:285,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 21:51:15:023,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:41:257,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 17:55:30:873,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 18:48:51:298,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:08:51:257,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 17:40:39:474,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 18:27:55:679,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:09:01:257,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 17:58:56:760,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 18:54:29:490,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 19:37:13:031,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 19:58:57:866,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 20:44:42:376,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 21:25:44:170,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 22:25:11:238,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:09:11:257,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 17:34:32:376,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 18:25:34:035,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:09:21:257,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 17:55:15:186,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 18:50:47:200,Michaele,normal,normal,"-"
16,4,Activity AG,2020-06-27 19:35:41:175,Charles,normal,normal,"-"
16,5,Activity AH,2020-06-27 19:52:34:979,Doretta,normal,normal,"-"
16,6,Activity AD,2020-06-27 20:50:45:816,Brant,normal,normal,"-"
16,7,Activity U,2020-06-27 21:36:18:270,Hannah,normal,normal,"-"
16,8,Activity B,2020-06-27 22:29:35:721,Ronald,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:09:31:257,Amanda,normal,normal,"-"
17,2,Activity C,2020-06-27 18:00:34:060,Della,normal,normal,"-"
17,3,Activity G,2020-06-27 18:48:34:461,Clayton,normal,normal,"-"
17,4,Activity K,2020-06-27 19:45:52:770,Sandra,normal,normal,"-"
17,5,Activity H,2020-06-27 20:29:18:161,Keven,normal,normal,"-"
17,6,Activity D,2020-06-27 21:15:39:352,Hassie,normal,normal,"-"
17,7,Activity S,2020-06-27 21:49:11:534,Velda,normal,normal,"-"
17,8,Activity B,2020-06-27 22:23:09:309,Tiffiny,normal,normal,"-"
17,9,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:09:41:257,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 18:05:26:583,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 18:55:11:239,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 19:30:02:127,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 20:22:54:549,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 21:16:45:977,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 21:52:06:743,Ryan,normal,normal,"-"
