case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:38:964,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:23:15:783,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:15:11:157,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:48:13:624,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:30:50:016,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:16:57:170,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:04:35:420,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:48:964,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:07:05:151,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 15:57:26:126,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:58:964,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:31:26:526,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:22:33:017,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:36:08:964,Seth,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
4,2,Activity B,2020-06-27 15:01:50:103,Tiffiny,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
4,3,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:36:18:964,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:19:21:911,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:13:06:831,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:28:964,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:20:46:012,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 16:16:25:417,Tiffiny,normal,normal,"-"
