case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:34:755,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:34:49:666,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:30:43:918,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:26:30:835,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 19:46:49:091,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 20:42:37:001,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:35:59:464,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 21:51:38:247,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:44:755,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 17:49:39:804,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:41:17:387,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:27:31:385,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 19:45:33:097,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 20:32:45:511,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 21:14:46:950,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 21:38:36:192,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 22:25:46:723,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 23:03:53:766,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:54:755,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:53:47:167,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:39:10:978,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:11:27:771,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 20:06:29:071,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:58:30:046,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:50:42:217,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:19:07:547,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:04:755,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:57:09:110,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:45:55:825,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:18:15:744,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 19:43:29:274,James,normal,normal,"-"
4,6,Activity F,2020-06-27 20:37:15:145,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:10:08:873,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 21:52:24:784,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 22:37:46:948,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:14:755,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 17:38:28:742,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 18:31:53:427,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 19:22:35:606,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 20:16:12:386,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 21:14:58:845,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 21:50:18:238,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 22:44:14:771,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 23:34:53:134,Keven,normal,normal,"-"
5,10,Activity B,2020-06-28 00:30:54:573,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:24:755,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 17:22:45:264,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 18:16:08:126,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 18:58:48:340,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 19:35:41:838,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 20:33:01:622,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 21:26:48:024,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 21:51:20:758,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 22:47:37:555,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:34:755,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 17:26:50:167,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 18:25:18:757,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 19:24:04:365,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 20:11:58:514,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 21:01:26:240,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 21:55:22:334,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 22:16:48:883,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Random activity 8,2020-06-27 17:07:44:755,Random user 57,normal,anomalous,"{'indices': [0, 5]}"
8,2,Activity A,2020-06-27 17:41:18:541,Doretta,normal,anomalous,"{'indices': [0, 5]}"
8,3,Activity C,2020-06-27 18:31:24:643,Hannah,normal,anomalous,"{'indices': [0, 5]}"
8,4,Activity D,2020-06-27 19:22:32:576,Hugo,normal,anomalous,"{'indices': [0, 5]}"
8,5,Activity E,2020-06-27 19:41:32:980,Lannie,normal,anomalous,"{'indices': [0, 5]}"
8,6,Random activity 24,2020-06-27 20:38:44:597,Random user 23,normal,anomalous,"{'indices': [0, 5]}"
8,7,Activity H,2020-06-27 21:17:05:663,Josef,normal,anomalous,"{'indices': [0, 5]}"
8,8,Activity F,2020-06-27 21:42:19:934,Sandra,normal,anomalous,"{'indices': [0, 5]}"
8,9,Activity J,2020-06-27 22:36:00:557,Tiffiny,normal,anomalous,"{'indices': [0, 5]}"
8,10,Activity K,2020-06-27 23:12:48:244,Ryan,normal,anomalous,"{'indices': [0, 5]}"
8,11,Activity B,2020-06-28 00:00:21:882,Alyce,normal,anomalous,"{'indices': [0, 5]}"
8,12,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:54:755,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 17:22:58:968,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 18:10:18:275,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 18:54:14:265,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 19:35:34:155,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 20:22:14:133,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 21:03:55:441,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 21:32:42:086,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:04:755,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 17:41:37:125,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 18:40:05:456,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 19:31:21:618,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 20:14:08:776,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 21:04:46:353,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 21:41:47:068,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 22:17:21:357,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 23:16:20:966,Ling,normal,normal,"-"
10,10,Activity S,2020-06-27 23:54:17:096,Jack,normal,normal,"-"
10,11,Activity B,2020-06-28 00:40:13:621,Alyce,normal,normal,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:14:755,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 17:55:00:807,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 18:43:30:501,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 19:16:19:361,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 20:00:39:610,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 20:59:27:109,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 21:48:11:086,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 22:10:16:780,Brant,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:24:755,Velda,normal,normal,"-"
12,2,Activity AI,2020-06-27 17:25:39:337,Pam,normal,normal,"-"
