case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:24:210,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:06:36:679,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:59:25:937,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:43:07:928,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:03:13:333,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:52:19:971,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:28:01:237,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:13:29:455,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:34:210,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 15:04:48:989,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 16:03:46:039,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:56:44:790,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:44:01:510,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:31:47:306,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 19:02:38:169,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:33:58:433,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:28:52:649,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:01:52:897,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:44:210,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:27:25:670,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:23:22:156,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 17:14:34:071,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 18:14:04:266,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 19:02:36:659,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 19:40:01:716,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 20:12:02:833,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:54:210,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:16:40:065,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:15:34:418,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 17:05:26:698,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:46:45:818,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:35:05:951,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:33:54:096,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 20:24:01:905,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 21:17:59:589,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:36:04:210,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:55:05:934,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:44:25:407,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:34:35:643,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 16:53:59:713,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 17:46:12:190,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:42:45:945,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:16:21:272,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:03:58:098,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 20:39:36:696,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:14:210,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:57:30:430,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:51:53:622,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:43:53:132,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:14:10:392,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:01:53:707,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 18:55:51:940,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:50:55:847,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:40:14:460,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:24:210,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 14:52:25:239,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 15:39:19:661,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:14:07:965,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 16:52:57:752,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 17:47:53:788,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 18:46:20:828,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 19:38:38:456,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Random activity 8,2020-06-27 14:36:34:210,Random user 57,normal,anomalous,"{'indices': [0, 5]}"
8,2,Activity A,2020-06-27 15:08:42:859,Doretta,normal,anomalous,"{'indices': [0, 5]}"
