case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:23:188,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:05:02:595,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 16:00:30:309,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:37:24:775,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:16:47:476,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:13:51:394,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:58:01:082,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:19:06:851,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:33:188,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 15:06:15:579,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 16:00:17:200,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 17:00:11:996,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:25:48:530,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:17:47:066,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 19:12:07:411,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:47:09:514,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:36:43:311,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:15:26:959,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:43:188,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:22:43:264,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:14:52:832,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:59:37:807,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:44:25:914,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:30:27:752,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 19:18:44:150,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:50:39:382,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:53:188,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:55:11:859,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:45:26:733,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:29:35:340,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 16:53:08:252,James,normal,normal,"-"
4,6,Activity F,2020-06-27 17:38:50:622,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:30:42:167,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:13:57:513,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:12:36:032,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:36:03:188,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:27:02:880,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 16:17:23:330,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 17:03:56:376,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:24:43:422,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:19:51:254,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 19:11:09:708,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:27:34:632,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:17:30:787,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 20:50:19:950,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:13:188,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 15:13:22:215,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 16:12:22:321,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 17:06:37:491,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:39:21:072,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:36:54:322,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 19:25:15:969,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:51:28:575,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:39:09:116,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:23:188,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 15:17:16:758,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 16:15:07:853,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 17:14:08:688,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 17:50:40:482,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 18:50:23:363,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 19:41:29:200,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 20:38:38:835,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:33:188,Doretta,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
8,2,Activity E,2020-06-27 15:19:09:829,Lannie,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
8,3,Activity H,2020-06-27 16:05:05:570,Josef,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
8,4,Activity F,2020-06-27 16:53:14:764,Sandra,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
