case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:48:616,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:58:52:410,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:55:38:082,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:47:51:759,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 20:37:39:273,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 21:31:59:004,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 22:04:22:060,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 22:51:45:881,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:58:616,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 17:30:22:719,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:21:16:801,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 18:53:28:186,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 19:33:54:869,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 20:33:03:645,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 21:21:50:880,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 22:15:54:493,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 23:10:56:086,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-28 00:08:20:665,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:08:616,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:59:12:898,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:57:41:956,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:55:36:744,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 20:26:28:148,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 21:20:17:254,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 22:10:30:148,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:29:28:694,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:18:616,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:31:49:088,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:23:59:056,Hugo,normal,normal,"-"
