case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:55:249,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:41:23:564,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:34:22:995,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:15:59:893,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 19:51:30:115,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 20:41:12:359,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:31:23:574,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 21:54:45:406,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:05:249,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 17:22:41:732,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:15:14:093,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 18:46:54:551,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 19:06:21:618,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 19:58:03:527,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 20:57:39:579,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 21:30:01:999,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 22:29:51:445,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 23:17:27:012,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:15:249,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:40:16:634,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:28:14:220,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:03:42:581,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 19:35:22:520,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:27:25:988,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:12:09:938,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:04:04:009,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:25:249,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:51:16:095,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:47:05:014,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:32:22:977,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 19:58:41:043,James,normal,normal,"-"
4,6,Activity F,2020-06-27 20:53:53:073,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:52:55:749,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 22:37:40:884,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 23:27:24:735,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:35:249,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 18:00:58:956,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 18:56:30:599,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 19:41:24:540,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 19:58:44:426,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 20:57:58:883,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 21:40:16:114,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 21:57:10:713,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 22:51:48:106,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 23:43:31:660,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:45:249,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 17:41:30:855,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 18:39:48:255,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 19:20:59:646,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 20:11:46:758,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 21:03:30:570,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 21:41:49:196,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 22:41:18:932,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 23:29:48:074,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:55:249,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 17:54:24:410,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 18:47:12:067,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 19:29:36:884,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 19:53:46:438,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 20:52:08:002,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 21:32:45:695,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 22:12:30:335,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:05:249,Doretta,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}, {'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
8,2,Activity C,2020-06-27 18:06:53:568,Hannah,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}, {'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}]}"
