case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:30:277,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:40:16:914,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:27:12:856,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 18:58:05:079,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:50:39:607,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:36:52:080,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:09:34:056,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:04:00:120,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:40:277,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:26:59:656,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:22:25:720,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:13:53:683,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 19:39:29:872,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:37:14:049,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:34:34:775,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:50:277,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:35:40:134,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:31:17:050,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:00:277,Steve,normal,anomalous,"-"
4,2,Activity C,2020-06-27 17:31:29:857,Keven,normal,anomalous,"-"
4,3,Activity G,2020-06-27 18:22:20:361,Steve,normal,anomalous,"-"
4,4,Activity D,2020-06-27 19:15:14:984,Emily,normal,anomalous,"-"
4,5,Random activity 10,2020-06-27 19:43:27:533,Random user 24,normal,anomalous,"-"
4,6,Activity I,2020-06-27 20:42:08:622,Keven,normal,anomalous,"-"
4,7,Activity L,2020-06-27 21:28:39:045,Sandra,normal,anomalous,"-"
4,8,Activity J,2020-06-27 22:15:13:512,Gema,normal,anomalous,"-"
4,9,Activity B,2020-06-27 23:13:37:851,Carmella,normal,anomalous,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:10:277,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:42:00:059,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:38:12:423,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:15:17:264,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 19:48:13:320,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 20:44:33:451,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:43:19:443,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:34:47:237,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:20:277,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:36:56:116,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:23:00:772,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:22:49:337,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 19:39:42:820,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 20:31:48:235,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 21:07:38:154,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:30:277,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 17:55:35:444,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 18:48:50:807,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 19:34:35:674,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 20:00:29:585,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 20:48:07:898,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 21:28:08:161,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:40:277,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:56:25:297,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:50:12:847,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:50:277,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:32:47:185,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:29:55:371,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 19:27:32:260,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 20:20:29:594,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 21:08:41:586,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 21:55:32:367,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:00:277,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 17:38:40:078,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 18:33:25:816,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:10:277,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 17:43:51:379,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 18:35:22:403,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 19:28:03:510,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 19:53:01:080,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 20:39:25:054,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 21:24:43:521,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 21:46:23:010,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:20:277,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 17:48:51:372,Della,normal,normal,"-"
