case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:19:896,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:51:11:515,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:44:32:130,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:34:03:680,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:51:50:125,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:45:16:661,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:30:42:778,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:15:56:748,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:29:896,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:55:21:678,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:46:03:291,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:38:55:365,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:09:00:655,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:05:35:910,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:36:27:159,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:39:896,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:16:13:087,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:05:39:589,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:49:896,Steve,normal,anomalous,"-"
4,2,Activity C,2020-06-27 15:17:22:595,Keven,normal,anomalous,"-"
4,3,Activity G,2020-06-27 16:13:21:705,Steve,normal,anomalous,"-"
4,4,Activity D,2020-06-27 16:59:51:922,Emily,normal,anomalous,"-"
4,5,Random activity 10,2020-06-27 17:55:49:747,Random user 24,normal,anomalous,"-"
4,6,Activity I,2020-06-27 18:47:29:117,Keven,normal,anomalous,"-"
4,7,Activity L,2020-06-27 19:38:07:147,Sandra,normal,anomalous,"-"
4,8,Activity J,2020-06-27 20:24:25:995,Gema,normal,anomalous,"-"
4,9,Activity B,2020-06-27 21:17:48:320,Carmella,normal,anomalous,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:59:896,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:27:11:978,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:14:33:203,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 17:00:38:845,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:30:34:469,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:26:20:124,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 19:21:51:079,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:53:53:946,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:09:896,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:54:30:909,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:39:32:807,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:15:06:113,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:01:21:685,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:57:35:408,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:54:57:347,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:19:896,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:54:16:764,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:49:26:351,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:42:42:066,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:38:08:061,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:30:05:367,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 19:07:54:873,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:29:896,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:21:25:735,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:10:05:024,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:39:896,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 15:33:44:843,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 16:21:11:692,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 16:55:13:393,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 17:48:44:481,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 18:33:50:159,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 19:16:23:721,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:36:49:896,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 15:08:29:697,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 15:56:37:566,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:36:59:896,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 15:30:17:222,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 16:22:29:147,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 17:11:49:843,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 17:59:59:468,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 18:54:43:739,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 19:41:18:376,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 20:32:19:861,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:37:09:896,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 15:28:19:101,Della,normal,normal,"-"
