case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:03:774,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 18:03:33:681,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:59:28:341,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:54:16:654,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 20:16:33:992,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 21:16:08:524,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 22:02:16:685,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:58:49:377,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:13:774,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 18:01:17:782,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:56:17:860,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:28:12:218,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:05:44:990,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:58:04:499,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:56:19:822,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:23:774,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 18:03:40:365,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 19:02:13:305,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:33:774,Steve,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,2,Activity G,2020-06-27 18:06:03:716,Steve,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,3,Activity D,2020-06-27 18:52:42:677,Emily,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,4,Activity I,2020-06-27 19:28:28:832,Keven,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,5,Activity C,2020-06-27 20:16:16:991,Keven,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,6,Activity L,2020-06-27 21:16:16:131,Sandra,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,7,Activity J,2020-06-27 21:55:46:660,Gema,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,8,Activity B,2020-06-27 22:39:39:412,Carmella,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:43:774,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:51:37:058,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:38:07:286,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:19:49:456,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 20:17:02:826,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 21:14:02:045,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:58:32:691,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:23:02:799,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:53:774,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:36:34:670,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:27:54:639,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:08:20:897,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 19:39:29:723,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 20:34:42:618,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 21:33:06:877,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity U,2020-06-27 17:08:03:774,Jimmy,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 2}"
7,2,Activity A,2020-06-27 17:48:54:635,Rossana,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 2}"
7,3,Activity O,2020-06-27 18:40:43:769,Ronald,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 2}"
7,4,Activity W,2020-06-27 19:16:42:673,Evelin,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 2}"
7,5,Activity V,2020-06-27 19:45:05:542,Jamika,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 2}"
7,6,Activity P,2020-06-27 20:44:10:845,Ryan,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 2}"
7,7,Activity B,2020-06-27 21:15:25:148,Alpha,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 2}"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:13:774,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:36:20:030,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:29:44:703,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:23:774,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:39:21:979,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:27:34:402,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 19:24:40:083,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 19:50:50:559,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 20:36:19:935,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 21:32:48:034,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:33:774,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 17:38:44:188,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 18:25:05:565,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:43:774,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 17:56:12:097,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 18:42:22:834,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 19:13:20:427,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 19:30:27:956,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 20:17:40:857,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 21:15:47:462,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 21:43:48:029,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:53:774,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 17:34:20:733,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 18:32:10:413,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 19:25:34:366,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 20:07:46:488,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 21:01:48:596,Velda,normal,normal,"-"
