case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:04:603,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:50:22:115,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:40:43:513,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:14:40:427,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:52:22:779,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:51:25:182,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:47:45:371,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:18:09:651,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:14:603,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:48:45:086,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:47:20:992,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:41:09:532,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:06:12:227,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 21:00:26:067,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:33:54:909,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:24:603,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:46:51:471,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:36:22:244,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:34:603,Steve,normal,anomalous,"{'indices': [3, 7]}"
4,2,Activity C,2020-06-27 17:57:32:765,Keven,normal,anomalous,"{'indices': [3, 7]}"
4,3,Activity G,2020-06-27 18:53:43:872,Steve,normal,anomalous,"{'indices': [3, 7]}"
