case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:37:886,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 15:17:53:046,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 16:03:52:885,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 16:37:01:318,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 16:58:44:668,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 17:55:15:952,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 18:49:39:208,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 19:37:21:695,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 20:28:56:811,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 21:20:22:976,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:47:886,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:09:41:578,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:07:24:985,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 17:03:26:970,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:37:38:338,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:27:34:386,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:05:39:992,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:57:886,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:08:09:938,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:56:46:405,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:28:06:428,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:06:29:160,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:06:07:676,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:37:01:455,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:05:50:697,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 19:59:39:307,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:49:24:065,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:36:07:886,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:00:44:258,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:46:31:908,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:17:08:095,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 16:40:41:009,Tiffiny,normal,normal,"-"
