case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:36:623,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:33:10:072,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:31:28:287,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:02:11:713,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:35:02:202,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:34:32:902,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity O,2020-06-27 17:06:46:623,Keven,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 17:51:29:192,Alyce,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,3,Activity N,2020-06-27 18:40:03:365,Wilton,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,4,Activity Y,2020-06-27 19:37:48:498,Lourdes,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,5,Activity AD,2020-06-27 20:30:11:844,Brant,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,6,Activity Z,2020-06-27 21:19:18:527,Michaele,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,7,Activity B,2020-06-27 22:17:50:579,Grayce,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:56:623,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:46:42:091,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:32:44:723,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:09:53:632,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:27:20:642,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:18:33:728,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:06:623,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:25:44:008,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:11:47:949,Sherell,normal,normal,"-"
