case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:55:254,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:23:49:811,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:23:41:117,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:53:47:876,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:32:49:617,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:24:52:945,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity N,2020-06-27 14:36:05:254,Wilton,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,2,Activity Y,2020-06-27 15:29:07:537,Lourdes,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,3,Activity AD,2020-06-27 16:19:38:143,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,4,Activity Z,2020-06-27 16:59:25:161,Michaele,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,5,Activity O,2020-06-27 17:32:25:408,Keven,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,6,Activity A,2020-06-27 18:28:35:350,Alyce,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,7,Activity B,2020-06-27 19:05:42:265,Grayce,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:15:254,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:52:52:991,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:41:21:061,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:23:18:758,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:16:40:129,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:03:42:552,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:36:25:254,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:28:49:388,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:27:52:646,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 17:06:27:353,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:34:27:824,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:30:20:917,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:10:56:447,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:36:35:254,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:04:03:114,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:00:32:278,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:33:43:617,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:25:18:124,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:16:06:429,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:45:254,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:09:31:375,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:55:43:406,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:42:44:553,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:37:20:885,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:35:46:942,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:55:254,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 15:12:04:674,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 16:04:53:333,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:51:07:342,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:18:38:054,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:18:26:239,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:05:254,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:34:40:838,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 16:24:26:902,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 17:04:54:300,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:41:21:481,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:27:18:746,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:37:15:254,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 15:25:50:889,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 16:18:15:128,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 17:18:07:547,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:38:15:680,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:34:48:580,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:37:25:254,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:28:11:587,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 16:16:49:216,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 16:48:22:311,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 17:05:39:868,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 17:51:33:635,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 18:35:41:143,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:37:35:254,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 15:37:17:237,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 16:33:01:719,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 17:21:18:102,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 17:58:54:010,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 18:52:28:991,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 19:31:25:505,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:37:45:254,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 15:20:24:052,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 16:06:05:071,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 17:05:55:474,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 17:22:16:221,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 18:09:42:226,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:37:55:254,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 15:04:53:253,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 15:50:46:645,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 16:44:31:038,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 17:03:11:163,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 17:54:45:218,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:38:05:254,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 15:29:01:893,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 16:15:39:021,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 17:01:36:684,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 17:58:33:524,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 18:55:11:552,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:38:15:254,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 14:54:36:919,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 15:45:39:979,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 16:28:00:323,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 17:00:17:309,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 17:48:04:898,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 18:23:22:916,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:38:25:254,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 15:00:22:749,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 15:58:33:096,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 16:54:06:853,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 17:43:04:558,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 18:36:21:791,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:38:35:254,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 15:33:53:207,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 16:23:01:459,Hoyt,normal,normal,"-"
17,4,Activity AF,2020-06-27 17:21:15:117,Rossie,normal,normal,"-"
17,5,Activity O,2020-06-27 17:39:47:585,Hoyt,normal,normal,"-"
17,6,Activity B,2020-06-27 18:29:22:436,Tiffiny,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:38:45:254,Della,normal,normal,"-"
18,2,Activity N,2020-06-27 14:56:12:677,Hoyt,normal,normal,"-"
18,3,Activity R,2020-06-27 15:42:19:244,Carmella,normal,normal,"-"
18,4,Activity T,2020-06-27 16:28:14:305,Iluminada,normal,normal,"-"
18,5,Activity S,2020-06-27 17:23:44:164,Sandra,normal,normal,"-"
18,6,Activity O,2020-06-27 18:23:25:423,Shandi,normal,normal,"-"
18,7,Activity B,2020-06-27 19:12:44:105,Grayce,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:38:55:254,Della,normal,normal,"-"
19,2,Activity N,2020-06-27 15:10:47:276,Roy,normal,normal,"-"
19,3,Activity AE,2020-06-27 16:01:52:194,Hoyt,normal,normal,"-"
19,4,Activity AF,2020-06-27 17:01:27:556,Rossie,normal,normal,"-"
19,5,Activity O,2020-06-27 17:17:12:604,Junior,normal,normal,"-"
19,6,Activity B,2020-06-27 18:05:43:313,Grayce,normal,normal,"-"
19,7,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:39:05:254,Della,normal,normal,"-"
20,2,Activity N,2020-06-27 15:28:28:639,Doretta,normal,normal,"-"
20,3,Activity R,2020-06-27 16:22:47:465,Carmella,normal,normal,"-"
20,4,Activity T,2020-06-27 17:14:41:346,Iluminada,normal,normal,"-"
