case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:43:245,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 18:05:44:189,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:56:59:613,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:30:38:931,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:02:28:356,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:51:55:060,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:53:245,Alyce,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,2,Activity N,2020-06-27 18:01:48:333,Wilton,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,3,Activity Y,2020-06-27 18:59:29:539,Lourdes,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,4,Activity AD,2020-06-27 19:59:07:452,Brant,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,5,Activity O,2020-06-27 20:52:08:589,Keven,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,6,Activity B,2020-06-27 21:49:04:747,Grayce,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:03:245,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:37:41:925,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:26:20:508,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:13:15:350,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:03:15:195,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:00:42:756,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:13:245,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:30:04:369,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:26:30:237,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:02:07:435,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:24:46:818,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:14:15:860,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 20:46:01:960,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:23:245,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:50:08:934,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:40:17:605,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:34:33:214,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 20:16:30:135,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 21:06:27:261,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:33:245,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 18:06:25:308,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:52:59:866,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:46:05:571,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:21:44:918,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 21:16:24:621,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:43:245,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:45:40:567,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:45:34:409,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:44:28:456,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:59:58:838,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:47:32:696,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:53:245,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:52:01:757,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:50:18:518,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:28:45:794,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 19:44:53:608,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 20:39:56:230,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:03:245,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:43:38:461,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:39:52:586,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:25:25:836,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 20:01:25:708,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 20:55:26:194,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:13:245,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:31:24:973,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:22:33:978,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:16:41:012,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:55:58:944,Vickie,normal,normal,"-"
