case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:29:778,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:52:36:950,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:49:27:666,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:43:00:567,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:32:36:624,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:28:16:147,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:39:778,Alyce,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,2,Activity N,2020-06-27 15:05:28:628,Wilton,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,3,Activity Y,2020-06-27 15:59:44:852,Lourdes,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,4,Activity AD,2020-06-27 16:34:42:399,Brant,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,5,Activity Z,2020-06-27 17:06:04:741,Steve,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,6,Activity O,2020-06-27 18:00:20:835,Keven,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,7,Activity B,2020-06-27 18:42:21:260,Grayce,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:49:778,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:18:55:527,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:04:00:919,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:59:00:777,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:35:44:818,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:20:54:158,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:59:778,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:03:45:211,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:51:58:445,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:29:11:503,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 16:58:30:541,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:48:08:140,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:31:30:135,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:36:09:778,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:34:05:249,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:22:39:480,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:16:02:295,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:55:33:952,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:46:32:382,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:19:778,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:11:50:635,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:05:01:514,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:36:32:540,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:16:34:956,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:10:50:504,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:29:778,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 14:59:39:810,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:55:39:631,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:46:48:386,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:13:56:221,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:07:08:702,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:39:778,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 14:59:51:105,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:59:24:660,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:54:03:309,Jamika,normal,normal,"-"
