case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:02:270,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:47:03:489,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:42:26:455,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:13:31:589,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:30:23:158,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:17:22:417,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 20:49:54:871,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:12:270,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 18:02:59:699,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 19:02:35:702,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:22:270,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:29:48:472,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:22:05:466,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity BC,2020-06-27 17:06:32:270,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
4,2,Activity A,2020-06-27 17:25:29:454,Seth,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
4,3,Activity B,2020-06-27 18:11:17:739,Tiffiny,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:42:270,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 18:06:33:250,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:59:03:645,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:52:270,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:27:49:140,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:17:47:516,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:02:270,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:27:39:664,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:14:14:999,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:12:270,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:54:37:378,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:52:55:865,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:42:23:533,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 20:09:11:689,James,normal,normal,"-"
8,6,Activity S,2020-06-27 20:56:26:404,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 21:29:06:993,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:22:270,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:30:04:505,Steve,normal,normal,"-"
