case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:43:455,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:50:23:577,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:36:11:017,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:10:02:214,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:03:41:649,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:56:53:454,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:41:33:686,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:53:455,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:49:12:124,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:42:08:528,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:03:455,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:53:26:033,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:53:08:450,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity BC,2020-06-27 17:06:13:455,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,2,Activity A,2020-06-27 17:45:52:185,Seth,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,3,Activity B,2020-06-27 18:43:51:011,Tiffiny,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:23:455,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:42:22:419,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:30:37:427,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:33:455,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:47:34:683,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:32:47:298,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:06:43:455,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 18:00:35:641,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:51:46:549,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:06:53:455,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:32:06:602,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:23:08:748,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:01:16:964,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 19:58:34:372,James,normal,normal,"-"
8,6,Activity S,2020-06-27 20:44:44:393,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 21:23:44:703,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:03:455,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:27:35:735,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:24:27:981,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:04:01:060,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 19:24:35:068,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 20:16:45:309,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 20:50:12:748,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:07:13:455,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:28:04:394,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:22:29:644,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:09:35:615,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 20:03:51:733,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 20:53:49:095,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 21:48:57:497,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 22:26:04:761,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:07:23:455,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 17:51:48:521,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 18:41:25:958,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 19:21:57:434,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 19:43:59:093,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 20:32:28:293,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 21:17:55:571,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 21:45:04:790,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:07:33:455,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 17:25:07:970,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 18:17:15:000,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:07:43:455,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 17:51:48:491,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 18:38:34:942,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:07:53:455,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 17:36:04:123,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 18:22:35:483,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 18:59:03:358,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 19:23:02:641,Jack,normal,normal,"-"
