case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:34:34:592,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:08:28:619,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:57:26:555,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:37:39:855,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:55:16:522,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:41:58:718,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:19:14:898,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:34:44:592,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:17:31:509,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:05:49:078,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:34:54:592,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:03:58:012,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:59:19:732,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity BC,2020-06-27 14:35:04:592,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,2,Activity A,2020-06-27 15:06:22:342,Seth,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,3,Activity B,2020-06-27 16:01:46:327,Tiffiny,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:14:592,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:34:45:489,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:26:29:503,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:35:24:592,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:01:22:062,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:50:50:517,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:35:34:592,Carmella,normal,normal,"-"
