case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:01:478,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:16:24:718,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:03:18:449,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:40:12:691,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:57:53:944,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:45:39:810,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:30:20:013,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:11:478,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 14:57:10:433,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 15:51:13:013,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:21:478,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:01:25:618,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:57:38:499,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity B,2020-06-27 14:35:31:478,Tiffiny,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
4,2,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:41:478,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:09:19:457,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:04:20:884,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:35:51:478,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:10:37:541,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:57:38:892,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:01:478,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:05:13:311,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:54:12:656,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:11:478,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 15:26:58:602,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 16:17:35:580,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:49:10:368,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:25:34:733,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:24:28:131,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 19:08:56:726,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:21:478,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 15:29:51:550,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 16:29:16:885,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 17:28:07:033,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:50:52:840,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:49:09:874,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 19:29:32:100,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:36:31:478,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 15:19:12:118,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 16:12:22:164,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 17:09:23:931,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 17:35:19:088,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 18:27:43:590,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 19:15:06:110,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:30:29:516,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:36:41:478,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 15:04:51:852,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 15:52:08:050,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 16:23:29:471,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 17:12:47:607,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 18:00:35:553,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 18:45:37:135,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 19:08:38:209,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:36:51:478,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 15:12:21:868,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 16:01:47:133,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:37:01:478,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 15:32:30:153,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 16:31:22:034,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:37:11:478,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 14:55:45:171,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 15:52:16:289,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 16:35:34:439,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 17:11:12:018,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 18:00:20:891,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 18:41:48:086,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 19:00:04:397,Deloras,normal,normal,"-"
