case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:34:53:401,Vickie,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,2,Activity AI,2020-06-27 15:27:53:444,Sharee,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,3,Activity AL,2020-06-27 16:20:23:328,Rossana,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,4,Activity AM,2020-06-27 17:11:06:376,Della,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,5,Activity AN,2020-06-27 17:47:59:206,Vickie,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,6,Activity AO,2020-06-27 18:42:27:336,Roy,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,7,Activity AJ,2020-06-27 19:30:25:911,Donald,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,8,Activity B,2020-06-27 20:13:30:957,Alyce,normal,anomalous,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:03:401,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 15:13:21:027,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 16:01:25:158,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:53:42:702,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:47:52:865,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:39:46:563,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 19:19:40:501,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 20:00:45:945,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 21:00:29:405,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:36:41:228,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:13:401,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:24:28:994,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:09:38:919,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:43:26:254,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:10:28:655,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:58:23:235,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:53:54:094,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:52:00:119,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:23:401,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:13:13:493,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:03:40:723,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:57:57:684,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:28:34:770,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:17:56:959,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:51:12:324,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:26:51:087,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:25:55:037,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:33:401,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:09:38:137,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 16:08:38:567,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:50:56:642,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:33:29:810,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:25:51:143,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 19:09:26:273,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:41:17:354,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:26:20:602,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 21:15:49:155,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:35:43:401,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:54:03:646,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:44:02:314,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:27:15:795,Brant,normal,normal,"-"
