case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:54:398,Velda,normal,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Activity AL', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}, {'name': 'Activity AM', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Marilyn'}}]}"
1,2,Activity AI,2020-06-27 18:05:20:750,Sharee,normal,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Activity AL', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}, {'name': 'Activity AM', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Marilyn'}}]}"
1,3,Activity AN,2020-06-27 18:52:38:820,Vickie,normal,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Activity AL', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}, {'name': 'Activity AM', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Marilyn'}}]}"
1,4,Activity AO,2020-06-27 19:36:40:179,Jack,normal,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Activity AL', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}, {'name': 'Activity AM', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Marilyn'}}]}"
1,5,Activity AJ,2020-06-27 20:35:42:775,Donald,normal,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Activity AL', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}, {'name': 'Activity AM', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Marilyn'}}]}"
1,6,Activity B,2020-06-27 21:27:24:341,Alyce,normal,anomalous,"{'size': 2, 'start': 2, 'skipped': [{'name': 'Activity AL', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}, {'name': 'Activity AM', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Marilyn'}}]}"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:04:398,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 18:02:00:932,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:54:34:192,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:42:21:731,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 20:11:02:506,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 21:03:57:878,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 21:34:13:209,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 22:13:06:592,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 23:07:14:519,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 23:49:14:768,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:14:398,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:24:18:435,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:14:06:642,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:02:08:923,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 19:54:18:043,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:50:24:898,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:48:51:557,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:25:33:556,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:24:398,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:31:27:762,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:23:37:818,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:01:38:872,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 19:36:31:225,James,normal,normal,"-"
4,6,Activity F,2020-06-27 20:33:32:829,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:31:03:953,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 22:15:29:681,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 23:13:31:924,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:34:398,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 17:59:36:499,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 18:57:50:603,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 19:37:31:651,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 20:07:24:970,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 21:03:11:202,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 21:39:11:467,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 22:08:50:918,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 23:01:57:777,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 23:44:26:146,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:44:398,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 17:38:29:171,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 18:29:53:013,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 19:28:04:418,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 20:13:25:591,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 21:05:00:426,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 22:04:20:838,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 22:32:01:816,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 23:31:39:522,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:06:54:398,Ronald,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity AR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
7,2,Activity AI,2020-06-27 17:28:00:209,Pam,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity AR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
7,3,Activity AP,2020-06-27 18:27:05:633,Chan,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity AR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
7,4,Activity AS,2020-06-27 19:25:29:803,Josef,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity AR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
7,5,Activity AJ,2020-06-27 20:06:45:493,Donald,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity AR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
7,6,Activity B,2020-06-27 21:05:31:245,Alyce,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AQ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity AR', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:04:398,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 17:53:14:383,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 18:43:26:474,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 19:28:48:772,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 19:48:58:858,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 20:45:55:106,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 21:30:28:164,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 22:28:08:561,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 23:23:54:248,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:14:398,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 17:44:43:751,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 18:37:11:581,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 19:18:30:129,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 19:51:50:328,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 20:50:01:539,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 21:44:15:426,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 22:13:24:691,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:07:24:398,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 17:40:41:543,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 18:34:52:354,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 19:09:43:326,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 20:00:08:714,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 20:49:20:873,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 21:44:29:152,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 22:38:07:556,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 23:33:09:734,Ling,normal,normal,"-"
10,10,Activity S,2020-06-28 00:27:11:187,Jack,normal,normal,"-"
10,11,Activity B,2020-06-28 01:17:47:758,Alyce,normal,normal,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:07:34:398,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 17:28:43:043,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 18:26:30:550,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 19:05:29:034,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 19:42:25:983,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 20:33:08:855,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 21:28:55:381,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 22:27:07:136,Brant,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:07:44:398,Velda,normal,normal,"-"
