case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Random activity 24,2020-06-27 17:06:03:116,Random user 12,normal,anomalous,"-"
1,2,Activity A,2020-06-27 18:00:01:694,Velda,normal,anomalous,"-"
1,3,Activity AI,2020-06-27 18:56:59:357,Sharee,normal,anomalous,"-"
1,4,Activity AL,2020-06-27 19:39:03:681,Rossana,normal,anomalous,"-"
1,5,Activity AM,2020-06-27 19:58:26:438,Marilyn,normal,anomalous,"-"
1,6,Activity AN,2020-06-27 20:45:49:442,Vickie,normal,anomalous,"-"
1,7,Activity AO,2020-06-27 21:19:20:593,Jack,normal,anomalous,"-"
1,8,Activity AJ,2020-06-27 21:37:39:770,Donald,normal,anomalous,"-"
1,9,Activity B,2020-06-27 22:27:40:218,Alyce,normal,anomalous,"-"
1,10,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:13:116,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 18:00:11:391,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:57:54:833,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:30:09:929,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 19:46:54:413,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 20:35:43:778,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 21:34:34:330,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 22:33:41:659,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 23:31:54:396,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-28 00:12:10:822,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:23:116,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 18:05:41:428,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:58:03:056,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:44:29:664,Jamika,normal,normal,"-"
