case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:11:950,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:37:09:173,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:23:51:733,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:02:16:046,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:47:31:901,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:40:03:598,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:20:05:352,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 21:35:11:727,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:21:950,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:36:04:485,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:31:27:805,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:03:03:222,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 19:27:31:714,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:14:08:808,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:12:40:328,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:31:950,Paul,normal,anomalous,"{'index': [0, 1, 2], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Shandi', 'Marilyn', 'Michaele']}"
3,2,Activity Y,2020-06-27 17:37:09:022,Hugo,normal,anomalous,"{'index': [0, 1, 2], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Shandi', 'Marilyn', 'Michaele']}"
3,3,Activity B,2020-06-27 18:34:56:136,Sigrid,normal,anomalous,"{'index': [0, 1, 2], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Shandi', 'Marilyn', 'Michaele']}"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:41:950,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:38:56:954,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:33:33:318,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:11:38:396,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:48:13:872,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:45:06:297,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:23:19:169,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 21:46:13:688,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:51:950,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:24:20:225,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:18:41:169,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:18:34:448,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 19:39:24:831,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 20:39:04:173,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:38:51:264,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:30:04:140,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:01:950,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 18:06:16:376,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 19:03:05:847,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 20:02:20:444,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 20:24:08:672,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 21:22:53:072,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 22:03:11:070,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:11:950,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 17:50:12:831,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 18:43:54:907,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 19:15:03:426,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 19:30:20:343,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 20:19:11:964,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 21:16:50:348,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:21:950,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:40:56:675,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:30:19:161,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:31:950,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:22:39:045,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:08:24:872,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 18:58:39:084,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 19:23:18:794,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 20:12:55:200,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 20:59:55:228,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:07:41:950,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 17:46:26:882,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 18:43:20:828,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:07:51:950,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 17:35:08:819,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 18:22:34:522,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 19:02:42:596,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 19:33:20:519,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 20:23:52:612,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 21:04:25:884,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 21:35:51:839,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:01:950,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 17:43:15:255,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 18:35:13:072,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 19:28:00:385,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 19:57:16:522,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 20:47:34:306,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 21:30:30:379,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 21:59:11:597,Sherlene,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:08:11:950,Rossana,normal,normal,"-"
13,2,Activity O,2020-06-27 17:41:36:953,Melany,normal,normal,"-"
13,3,Activity S,2020-06-27 18:35:12:710,Doretta,normal,normal,"-"
