case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:52:492,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:22:08:049,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:10:37:979,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 18:54:57:090,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:32:25:873,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:24:11:270,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:02:14:045,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 21:53:59:856,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:02:492,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:34:38:401,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:27:27:640,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:22:59:346,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 19:42:32:975,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:40:43:948,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:39:18:508,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity Y,2020-06-27 17:06:12:492,Marilyn,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,2,Activity A,2020-06-27 17:27:58:207,Shandi,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,3,Activity B,2020-06-27 18:23:17:356,Michaele,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:22:492,Steve,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,2,Activity I,2020-06-27 17:26:07:406,Keven,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,3,Activity C,2020-06-27 18:21:31:397,Keven,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,4,Activity G,2020-06-27 19:09:57:811,Steve,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,5,Activity D,2020-06-27 19:39:52:230,Emily,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,6,Activity L,2020-06-27 20:29:53:718,Sandra,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,7,Activity J,2020-06-27 21:12:43:913,Gema,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,8,Activity B,2020-06-27 22:02:03:462,Carmella,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:32:492,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:22:34:148,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:08:21:153,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 18:41:32:922,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 19:32:22:841,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 20:29:10:248,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:08:54:370,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 21:55:04:554,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:42:492,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:50:45:092,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:43:35:374,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:40:06:994,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 20:39:14:218,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 21:25:17:273,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 22:06:00:942,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity O,2020-06-27 17:06:52:492,Ronald,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,2,Activity U,2020-06-27 17:54:08:779,Jimmy,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,3,Activity A,2020-06-27 18:45:34:722,Rossana,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,4,Activity W,2020-06-27 19:21:09:320,Evelin,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,5,Activity V,2020-06-27 19:57:33:695,Jamika,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,6,Activity P,2020-06-27 20:42:59:047,Ryan,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,7,Activity B,2020-06-27 21:41:29:133,Alpha,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:02:492,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:43:17:518,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:33:42:659,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:12:492,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:28:16:163,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:19:45:934,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 19:19:07:697,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 19:38:11:342,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 20:27:43:237,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 21:06:38:757,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:07:22:492,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 17:39:37:006,Johnny,normal,normal,"-"
