case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:34:44:663,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:51:42:334,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:41:17:799,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:14:45:262,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:05:43:895,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:57:52:722,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:35:31:160,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:24:16:010,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:34:54:663,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:03:35:187,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:55:12:646,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:38:39:184,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:10:09:806,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:09:25:396,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:43:58:889,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity Y,2020-06-27 14:35:04:663,Marilyn,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,2,Activity A,2020-06-27 14:52:25:961,Shandi,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,3,Activity B,2020-06-27 15:48:25:592,Michaele,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:14:663,Steve,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,2,Activity I,2020-06-27 15:34:26:738,Keven,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,3,Activity C,2020-06-27 16:22:47:643,Keven,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,4,Activity G,2020-06-27 17:06:34:342,Steve,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,5,Activity D,2020-06-27 18:00:07:982,Emily,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,6,Activity L,2020-06-27 18:51:35:637,Sandra,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,7,Activity J,2020-06-27 19:39:39:882,Gema,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,8,Activity B,2020-06-27 20:37:11:500,Carmella,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:24:663,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:04:05:250,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:52:49:489,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:44:49:650,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:03:16:001,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:01:12:445,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:33:35:803,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:13:52:825,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:35:34:663,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:13:58:230,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 16:08:37:902,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:54:18:724,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:45:03:557,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:39:54:913,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:13:13:135,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity O,2020-06-27 14:35:44:663,Ronald,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,2,Activity U,2020-06-27 15:14:32:473,Jimmy,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,3,Activity A,2020-06-27 16:07:20:695,Rossana,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,4,Activity W,2020-06-27 16:37:40:325,Evelin,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,5,Activity V,2020-06-27 17:23:13:508,Jamika,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,6,Activity P,2020-06-27 18:08:40:100,Ryan,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,7,Activity B,2020-06-27 19:04:11:646,Alpha,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:35:54:663,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 14:58:56:206,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 15:51:22:382,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:04:663,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 14:51:09:684,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 15:44:02:253,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 16:34:34:218,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 16:56:34:842,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 17:52:31:617,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 18:29:53:469,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:36:14:663,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 15:29:27:510,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 16:26:41:175,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:36:24:663,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 15:32:22:968,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 16:32:16:604,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 17:15:13:412,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 18:13:46:260,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 19:09:57:964,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 19:57:39:739,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 20:18:37:647,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:36:34:663,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 15:20:36:891,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 16:14:44:740,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 17:12:43:114,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 17:40:49:612,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 18:26:38:887,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 19:10:45:258,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 19:53:23:225,Sherlene,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:36:44:663,Rossana,normal,normal,"-"
13,2,Activity O,2020-06-27 15:21:29:239,Melany,normal,normal,"-"
13,3,Activity S,2020-06-27 16:16:41:722,Doretta,normal,normal,"-"
13,4,Activity T,2020-06-27 17:01:39:724,Velda,normal,normal,"-"
13,5,Activity P,2020-06-27 17:32:58:589,Jin,normal,normal,"-"
13,6,Activity B,2020-06-27 18:29:23:365,Sherell,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:36:54:663,Micheline,normal,normal,"-"
14,2,Activity Y,2020-06-27 15:06:38:509,Ling,normal,normal,"-"
14,3,Activity B,2020-06-27 16:01:30:702,Michaele,normal,normal,"-"
14,4,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:37:04:663,Doretta,normal,normal,"-"
15,2,Activity C,2020-06-27 15:25:16:518,Maryellen,normal,normal,"-"
15,3,Activity G,2020-06-27 16:17:00:338,Steve,normal,normal,"-"
15,4,Activity D,2020-06-27 17:10:19:926,Emily,normal,normal,"-"
15,5,Activity I,2020-06-27 17:31:55:788,Iluminada,normal,normal,"-"
15,6,Activity K,2020-06-27 18:17:16:386,Velda,normal,normal,"-"
15,7,Activity J,2020-06-27 19:14:23:276,Jamika,normal,normal,"-"
15,8,Activity B,2020-06-27 19:44:27:116,Michaele,normal,normal,"-"
15,9,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:37:14:663,Steve,normal,normal,"-"
16,2,Activity C,2020-06-27 15:19:07:793,Keven,normal,normal,"-"
16,3,Activity G,2020-06-27 16:09:02:742,Steve,normal,normal,"-"
16,4,Activity D,2020-06-27 16:39:04:454,Deloras,normal,normal,"-"
16,5,Activity I,2020-06-27 17:38:41:034,Keven,normal,normal,"-"
16,6,Activity L,2020-06-27 18:28:42:899,Keven,normal,normal,"-"
16,7,Activity J,2020-06-27 19:25:01:770,Gema,normal,normal,"-"
16,8,Activity B,2020-06-27 19:58:31:094,Carmella,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:37:24:663,Keven,normal,normal,"-"
17,2,Activity O,2020-06-27 15:21:59:214,Melany,normal,normal,"-"
17,3,Activity S,2020-06-27 16:09:57:899,Doretta,normal,normal,"-"
17,4,Activity T,2020-06-27 16:51:32:448,Velda,normal,normal,"-"
17,5,Activity P,2020-06-27 17:31:15:047,Seth,normal,normal,"-"
17,6,Activity B,2020-06-27 18:28:20:226,Sherlene,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:37:34:663,Steve,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,2,Activity C,2020-06-27 15:12:26:558,Della,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,3,Activity J,2020-06-27 16:11:54:737,Brian,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,4,Activity G,2020-06-27 17:03:17:008,Steve,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,5,Activity D,2020-06-27 17:50:43:322,Emily,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,6,Activity I,2020-06-27 18:48:47:046,Melany,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,7,Activity K,2020-06-27 19:34:26:830,Issac,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,8,Activity B,2020-06-27 19:51:24:293,Michaele,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:37:44:663,Amanda,normal,normal,"-"
19,2,Activity C,2020-06-27 15:34:14:536,Pam,normal,normal,"-"
19,3,Activity G,2020-06-27 16:19:47:251,Amanda,normal,normal,"-"
19,4,Activity D,2020-06-27 17:13:02:814,Emily,normal,normal,"-"
19,5,Activity I,2020-06-27 17:50:17:973,Melany,normal,normal,"-"
19,6,Activity K,2020-06-27 18:36:13:223,Issac,normal,normal,"-"
19,7,Activity J,2020-06-27 19:17:42:314,Craig,normal,normal,"-"
19,8,Activity B,2020-06-27 19:35:45:442,Carmella,normal,normal,"-"
19,9,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:37:54:663,Amanda,normal,normal,"-"
20,2,Activity C,2020-06-27 15:01:27:469,Jack,normal,normal,"-"
20,3,Activity F,2020-06-27 15:57:16:746,Howard,normal,normal,"-"
20,4,Activity D,2020-06-27 16:39:22:909,Keven,normal,normal,"-"
20,5,Activity I,2020-06-27 17:09:53:388,Maryellen,normal,normal,"-"
20,6,Activity K,2020-06-27 17:55:01:890,Velda,normal,normal,"-"
20,7,Activity J,2020-06-27 18:25:49:983,Jamika,normal,normal,"-"
20,8,Activity B,2020-06-27 19:05:24:449,Michaele,normal,normal,"-"
20,9,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 14:38:04:663,Micheline,normal,normal,"-"
21,2,Activity Y,2020-06-27 15:06:25:945,Johnny,normal,normal,"-"
21,3,Activity B,2020-06-27 16:03:09:056,Michaele,normal,normal,"-"
21,4,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 14:38:14:663,Steve,normal,normal,"-"
22,2,Activity C,2020-06-27 15:11:11:198,Lisa,normal,normal,"-"
22,3,Activity E,2020-06-27 16:02:38:151,Donald,normal,normal,"-"
22,4,Activity D,2020-06-27 16:50:08:801,Keven,normal,normal,"-"
22,5,Activity I,2020-06-27 17:29:34:292,Maryellen,normal,normal,"-"
22,6,Activity K,2020-06-27 18:22:49:476,Issac,normal,normal,"-"
22,7,Activity J,2020-06-27 18:56:05:143,Frances,normal,normal,"-"
22,8,Activity B,2020-06-27 19:18:41:002,Michaele,normal,normal,"-"
22,9,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 14:38:24:663,Doretta,normal,normal,"-"
23,2,Activity C,2020-06-27 15:16:05:337,Keven,normal,normal,"-"
23,3,Activity G,2020-06-27 16:13:34:703,Steve,normal,normal,"-"
23,4,Activity D,2020-06-27 17:06:30:459,Emily,normal,normal,"-"
23,5,Activity I,2020-06-27 18:04:02:163,Tiffiny,normal,normal,"-"
23,6,Activity L,2020-06-27 19:01:05:480,Shandi,normal,normal,"-"
23,7,Activity J,2020-06-27 19:48:05:995,Micheline,normal,normal,"-"
23,8,Activity B,2020-06-27 20:14:55:382,Michaele,normal,normal,"-"
23,9,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 14:38:34:663,Shandi,normal,normal,"-"
24,2,Activity Y,2020-06-27 15:35:44:632,Johnny,normal,normal,"-"
24,3,Activity B,2020-06-27 16:30:31:263,Michaele,normal,normal,"-"
24,4,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 14:38:44:663,Keven,normal,normal,"-"
25,2,Activity O,2020-06-27 15:08:54:657,Brian,normal,normal,"-"
25,3,Activity U,2020-06-27 16:00:09:356,Sigrid,normal,normal,"-"
25,4,Activity W,2020-06-27 16:42:30:106,Evelin,normal,normal,"-"
25,5,Activity V,2020-06-27 17:08:02:065,Jamika,normal,normal,"-"
25,6,Activity P,2020-06-27 18:03:44:953,Jin,normal,normal,"-"
25,7,Activity B,2020-06-27 18:58:36:986,Sherell,normal,normal,"-"
25,8,■,,,,,""
26,0,▶,,,,,""
26,1,Activity A,2020-06-27 14:38:54:663,Doretta,normal,normal,"-"
26,2,Activity C,2020-06-27 15:26:04:598,Junior,normal,normal,"-"
26,3,Activity H,2020-06-27 16:18:13:878,Jin,normal,normal,"-"
26,4,Activity D,2020-06-27 17:16:18:258,Brian,normal,normal,"-"
26,5,Activity I,2020-06-27 17:58:25:112,Ryan,normal,normal,"-"
26,6,Activity M,2020-06-27 18:57:08:496,Junior,normal,normal,"-"
26,7,Activity J,2020-06-27 19:34:46:370,Micheline,normal,normal,"-"
