case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:06:933,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:32:55:011,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:29:38:751,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 17:17:00:840,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 18:14:44:637,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 19:04:09:012,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:52:32:560,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 20:15:48:402,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:16:933,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:05:45:530,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:54:52:496,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:45:31:154,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:43:55:476,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:39:02:129,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:22:42:179,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:26:933,Sonia,normal,anomalous,"{'index': [0, 1, 2], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Shandi', 'Marilyn', 'Michaele']}"
3,2,Activity Y,2020-06-27 15:06:52:024,Tiffiny,normal,anomalous,"{'index': [0, 1, 2], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Shandi', 'Marilyn', 'Michaele']}"
3,3,Activity B,2020-06-27 16:01:47:773,Wilton,normal,anomalous,"{'index': [0, 1, 2], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Shandi', 'Marilyn', 'Michaele']}"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:36:933,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:06:21:403,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:55:53:166,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:36:11:044,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:09:12:226,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:57:44:534,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:54:49:343,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:39:20:070,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:46:933,Doretta,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,2,Activity J,2020-06-27 15:28:32:834,Brian,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,3,Activity C,2020-06-27 16:20:22:096,Della,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,4,Activity G,2020-06-27 16:53:47:435,Steve,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,5,Activity D,2020-06-27 17:16:39:568,Deloras,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,6,Activity I,2020-06-27 18:15:32:857,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,7,Activity M,2020-06-27 19:02:38:962,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,8,Activity B,2020-06-27 19:32:11:021,Michaele,normal,anomalous,"{'shift_from': 7, 'shift_to': 1, 'size': 1}"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:35:56:933,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:28:13:062,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 16:14:39:508,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 17:07:06:354,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:52:22:586,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:46:19:103,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:16:51:812,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:06:933,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:55:52:364,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:42:23:012,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:38:00:181,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:15:27:752,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:00:41:599,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:35:09:909,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:16:933,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:25:09:851,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:13:50:484,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:26:933,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 15:25:57:033,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 16:24:57:715,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 17:11:38:466,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 17:28:14:454,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 18:14:22:285,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 19:00:56:126,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:36:36:933,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 15:34:58:269,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 16:22:10:012,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:36:46:933,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 15:25:45:899,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 16:14:58:919,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 16:59:47:553,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 17:53:04:921,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 18:47:56:485,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 19:28:06:689,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 20:11:56:151,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:36:56:933,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 15:02:20:210,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 16:01:11:087,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 16:46:36:574,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 17:13:40:461,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 18:01:48:876,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 18:36:57:864,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 19:30:13:977,Sherlene,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:37:06:933,Rossana,normal,normal,"-"
13,2,Activity O,2020-06-27 15:33:31:646,Melany,normal,normal,"-"
13,3,Activity S,2020-06-27 16:30:50:286,Doretta,normal,normal,"-"
13,4,Activity T,2020-06-27 17:02:14:899,Velda,normal,normal,"-"
13,5,Activity P,2020-06-27 17:25:27:028,Jin,normal,normal,"-"
13,6,Activity B,2020-06-27 18:13:05:628,Sherell,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity Y,2020-06-27 14:37:16:933,Ling,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
14,2,Activity A,2020-06-27 15:36:00:570,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
14,3,Activity B,2020-06-27 16:32:40:583,Michaele,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
14,4,■,,,,,""
15,0,▶,,,,,""
