case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:00:421,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 15:34:37:184,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 16:22:38:678,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 17:17:24:790,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 18:02:15:422,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 19:01:11:084,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 19:52:13:591,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 20:26:43:895,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 21:23:33:482,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 21:54:57:206,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:10:421,Sherlene,normal,anomalous,"{'shift_from': 4, 'shift_to': 1, 'size': 1}"
2,2,Activity D,2020-06-27 15:04:58:402,Lourdes,normal,anomalous,"{'shift_from': 4, 'shift_to': 1, 'size': 1}"
2,3,Activity B,2020-06-27 15:52:54:178,Doretta,normal,anomalous,"{'shift_from': 4, 'shift_to': 1, 'size': 1}"
2,4,Activity C,2020-06-27 16:50:27:705,Brant,normal,anomalous,"{'shift_from': 4, 'shift_to': 1, 'size': 1}"
2,5,Activity E,2020-06-27 17:10:00:673,Paul,normal,anomalous,"{'shift_from': 4, 'shift_to': 1, 'size': 1}"
2,6,Activity T,2020-06-27 18:05:44:506,Ryan,normal,anomalous,"{'shift_from': 4, 'shift_to': 1, 'size': 1}"
2,7,Activity F,2020-06-27 19:04:55:156,Lisa,normal,anomalous,"{'shift_from': 4, 'shift_to': 1, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:20:421,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:57:33:550,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:55:27:389,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:36:17:817,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:32:52:494,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:29:49:570,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:11:02:537,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:51:07:281,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:42:27:374,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:17:41:889,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
