case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:34:51:406,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:04:24:546,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:00:24:412,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:57:25:858,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:18:12:399,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:03:49:583,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:01:406,Alyce,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,2,Activity N,2020-06-27 15:14:24:253,Wilton,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,3,Activity Y,2020-06-27 16:08:28:467,Lourdes,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,4,Activity AD,2020-06-27 16:52:24:194,Sherlene,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,5,Activity Z,2020-06-27 17:25:24:125,Michaele,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,6,Activity O,2020-06-27 18:18:05:690,Keven,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,7,Activity B,2020-06-27 18:52:09:233,Grayce,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:11:406,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:23:12:153,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:19:30:453,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 17:08:20:784,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:47:14:414,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:39:36:655,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:21:406,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:05:47:727,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:59:00:690,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:31:00:294,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:19:31:315,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:05:10:812,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:52:00:153,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:31:406,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:17:53:620,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:14:28:728,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:00:13:935,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:38:52:727,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:24:53:655,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:35:41:406,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:31:50:459,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:31:05:243,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:18:29:289,Rossie,normal,normal,"-"
