case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:34:31:739,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:01:36:868,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:51:53:178,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:48:09:541,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:44:18:946,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:31:40:078,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity O,2020-06-27 14:34:41:739,Keven,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 15:26:29:294,Alyce,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,3,Activity N,2020-06-27 16:16:31:624,Wilton,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,4,Activity Y,2020-06-27 16:50:58:709,Lourdes,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,5,Activity AD,2020-06-27 17:38:02:899,Brant,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,6,Activity Z,2020-06-27 18:27:53:976,Michaele,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,7,Activity B,2020-06-27 19:26:12:871,Grayce,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:34:51:739,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:59:01:062,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:53:45:542,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:24:42:872,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 16:53:30:235,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:41:55:139,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:01:739,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:22:40:978,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:18:55:334,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:57:34:758,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:45:39:022,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:41:29:612,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:31:56:068,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:11:739,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:08:30:252,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:03:37:203,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:00:23:632,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:51:29:763,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:42:44:908,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:35:21:739,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:30:20:747,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:16:21:137,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:53:33:065,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:18:12:207,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:15:21:937,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:35:31:739,Della,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,2,Activity AH,2020-06-27 14:51:06:956,Jamika,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,3,Activity O,2020-06-27 15:50:37:549,Howard,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,4,Activity N,2020-06-27 16:25:44:957,Hassie,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,5,Activity AG,2020-06-27 17:15:24:529,Sandra,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,6,Activity B,2020-06-27 18:01:40:757,Grayce,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:35:41:739,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:10:28:217,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 16:00:24:129,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:33:26:908,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:13:29:261,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:05:55:629,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:35:51:739,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 15:35:43:223,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 16:22:12:982,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 17:09:33:906,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:37:29:991,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:35:35:219,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:36:01:739,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:31:36:970,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 16:17:29:757,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 16:57:00:491,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 17:53:49:998,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 18:50:43:345,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 19:29:40:467,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:36:11:739,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 14:53:24:026,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 15:49:56:617,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:38:25:183,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 17:02:04:540,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 17:48:05:803,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 18:37:06:696,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:36:21:739,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 15:25:48:198,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 16:17:10:584,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 16:53:49:481,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 17:20:36:412,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 18:14:07:452,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:36:31:739,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 15:13:55:296,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 16:10:19:323,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 16:40:43:799,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 17:05:30:469,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 17:56:34:400,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity N,2020-06-27 14:36:41:739,Roseanne,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,2,Activity P,2020-06-27 15:12:03:519,James,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,3,Activity A,2020-06-27 16:10:31:410,Della,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,4,Activity Q,2020-06-27 17:05:01:069,Della,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,5,Activity O,2020-06-27 17:29:23:299,Hugo,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,6,Activity B,2020-06-27 18:16:12:474,Melany,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:36:51:739,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 15:18:30:599,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 16:14:54:070,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 17:12:46:315,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 18:10:41:217,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 19:07:04:214,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 19:45:33:199,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:37:01:739,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 15:11:53:074,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 16:07:54:985,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 16:43:47:713,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 17:14:08:625,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 18:12:57:447,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
