case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:41:805,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:28:37:554,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:15:45:378,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 18:58:30:515,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:16:24:229,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:14:56:384,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:51:805,Alyce,normal,anomalous,"-"
2,2,Activity N,2020-06-27 17:47:18:276,Wilton,normal,anomalous,"-"
2,3,Activity Y,2020-06-27 18:47:03:994,Lourdes,normal,anomalous,"-"
2,4,Random activity 24,2020-06-27 19:19:39:495,Random user 66,normal,anomalous,"-"
2,5,Activity AD,2020-06-27 19:36:09:920,Brant,normal,anomalous,"-"
2,6,Activity Z,2020-06-27 20:21:41:095,Michaele,normal,anomalous,"-"
2,7,Activity O,2020-06-27 21:10:33:956,Keven,normal,anomalous,"-"
2,8,Activity B,2020-06-27 21:41:51:208,Grayce,normal,anomalous,"-"
2,9,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:01:805,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:53:35:582,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:46:08:583,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:35:34:816,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:06:50:472,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:05:52:105,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:11:805,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:44:15:307,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:37:42:227,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:24:34:385,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:49:38:137,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:45:41:667,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:40:57:734,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:21:805,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:52:46:385,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:48:58:779,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:33:35:763,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 20:01:14:943,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:48:52:053,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:31:805,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:44:04:725,Roy,normal,normal,"-"
