case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:45:680,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:32:38:686,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:20:13:447,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:12:50:422,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:36:28:232,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:30:38:931,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:55:680,Alyce,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,2,Activity N,2020-06-27 17:44:50:994,Wilton,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,3,Activity Y,2020-06-27 18:41:32:257,Lourdes,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,4,Activity AD,2020-06-27 19:38:59:209,Brant,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,5,Activity Z,2020-06-27 20:21:30:020,Steve,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,6,Activity O,2020-06-27 21:16:47:425,Keven,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,7,Activity B,2020-06-27 21:55:10:795,Grayce,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:05:680,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 18:03:08:742,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:55:58:986,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:34:21:966,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:26:35:325,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:19:55:757,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:15:680,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:50:33:066,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:37:41:722,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:31:41:895,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:51:40:293,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:42:24:137,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:20:59:028,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:25:680,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:21:26:170,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:16:15:702,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:16:04:313,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:47:11:446,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:43:24:756,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:35:680,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 18:04:45:568,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:58:08:329,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:40:50:314,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:38:02:287,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 21:24:11:775,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:06:45:680,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:26:50:419,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:24:19:518,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 18:55:20:239,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:39:04:926,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:25:37:923,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:06:55:680,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:47:20:649,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:41:34:106,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:33:57:799,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 20:25:08:522,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 21:24:35:881,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:05:680,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:45:51:055,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:34:19:325,Sandra,normal,normal,"-"
