case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:21:477,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:47:03:147,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:46:33:378,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:21:20:425,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:12:57:147,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 21:06:37:006,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:37:45:776,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:31:477,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:41:20:785,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:36:24:529,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:41:477,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:25:05:042,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:20:05:260,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:51:477,Craig,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,2,Activity BC,2020-06-27 17:25:24:348,Lucy,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,3,Activity B,2020-06-27 18:10:55:242,Tiffiny,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:04:01:477,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:44:27:761,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:37:29:023,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:04:11:477,Iluminada,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,2,Activity BC,2020-06-27 17:33:24:131,Micheline,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,3,Activity B,2020-06-27 18:25:57:473,Gema,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:21:477,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:26:47:025,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:21:44:121,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:31:477,Amanda,normal,normal,"-"
