case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:31:205,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:31:31:198,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:28:04:847,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 17:07:28:621,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:56:10:831,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:46:23:343,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:24:36:628,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:41:205,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:31:21:500,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:26:22:883,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:51:205,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:08:35:495,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:05:48:301,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:01:205,Craig,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,2,Activity BC,2020-06-27 14:55:42:143,Lucy,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,3,Activity B,2020-06-27 15:54:25:830,Tiffiny,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:11:205,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:31:15:228,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:23:58:709,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:21:205,Iluminada,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,2,Activity BC,2020-06-27 15:01:55:549,Micheline,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,3,Activity B,2020-06-27 16:00:03:536,Gema,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:31:205,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:55:14:403,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:44:23:543,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:41:205,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 15:30:37:042,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 16:20:21:237,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:54:14:133,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:17:33:455,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:06:03:591,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 19:03:42:126,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:51:205,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 15:01:39:471,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 15:57:58:605,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 16:52:55:898,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:14:04:023,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:08:43:155,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 18:52:55:994,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:34:01:205,Johnny,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,2,Activity C,2020-06-27 14:50:34:587,Seth,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,3,Activity L,2020-06-27 15:43:51:869,Pam,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,4,Activity N,2020-06-27 16:39:26:128,Paul,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,5,Activity M,2020-06-27 17:13:19:532,Jack,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,6,Activity D,2020-06-27 18:12:47:613,Sandra,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,7,Activity S,2020-06-27 18:50:32:753,Gema,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,8,Activity B,2020-06-27 19:49:35:671,Ronald,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Doretta']}"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:34:11:205,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 15:18:22:817,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 16:14:14:924,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 17:12:23:833,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 17:58:06:319,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 18:49:45:724,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 19:30:06:165,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 20:21:21:006,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:21:205,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 14:53:21:945,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 15:41:38:437,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:31:205,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 14:50:58:666,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 15:38:24:029,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:41:205,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 15:01:48:951,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 15:48:27:511,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 16:22:25:682,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 17:18:47:099,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 18:06:11:628,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 18:54:18:699,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 19:21:54:547,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:34:51:205,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 14:51:38:412,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 15:40:11:210,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:35:01:205,Micheline,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,2,Activity T,2020-06-27 15:32:39:841,Howard,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,3,Activity AC,2020-06-27 16:28:51:922,Michaele,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,4,Activity AG,2020-06-27 17:09:19:218,Wilton,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,5,Activity AH,2020-06-27 17:36:28:567,Johnny,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,6,Activity AD,2020-06-27 18:25:52:274,Brant,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,7,Activity U,2020-06-27 19:24:14:074,Hannah,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,8,Activity B,2020-06-27 20:09:10:320,Ronald,normal,anomalous,"{'index': [1, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Grayce', 'Charles', 'Doretta']}"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:35:11:205,Amanda,normal,normal,"-"
17,2,Activity C,2020-06-27 15:31:25:036,Della,normal,normal,"-"
17,3,Activity G,2020-06-27 16:25:58:935,Clayton,normal,normal,"-"
17,4,Activity K,2020-06-27 16:59:41:062,Sandra,normal,normal,"-"
17,5,Activity H,2020-06-27 17:43:22:655,Keven,normal,normal,"-"
17,6,Activity D,2020-06-27 18:30:00:405,Hassie,normal,normal,"-"
17,7,Activity S,2020-06-27 19:15:58:223,Velda,normal,normal,"-"
17,8,Activity B,2020-06-27 19:49:03:636,Tiffiny,normal,normal,"-"
17,9,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:35:21:205,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 15:24:51:726,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 16:09:54:800,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 16:56:13:879,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 17:22:04:023,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 18:09:00:456,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 19:08:12:607,Ryan,normal,normal,"-"
18,8,Activity B,2020-06-27 19:50:29:905,Deloras,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:35:31:205,Frances,normal,normal,"-"
19,2,Activity BD,2020-06-27 15:18:17:766,Lisa,normal,normal,"-"
19,3,Activity BP,2020-06-27 16:05:30:949,Carmella,normal,normal,"-"
19,4,Activity BE,2020-06-27 16:36:36:854,Lisa,normal,normal,"-"
19,5,Activity BQ,2020-06-27 17:09:38:865,Jamika,normal,normal,"-"
19,6,Activity BR,2020-06-27 17:56:21:310,Elisha,normal,normal,"-"
19,7,Activity BU,2020-06-27 18:54:16:411,Clayton,normal,normal,"-"
19,8,Activity BS,2020-06-27 19:53:04:247,Hoyt,normal,normal,"-"
19,9,Activity B,2020-06-27 20:51:06:467,Joe,normal,normal,"-"
19,10,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:35:41:205,Joe,normal,normal,"-"
20,2,Activity BC,2020-06-27 15:29:38:443,Micheline,normal,normal,"-"
20,3,Activity B,2020-06-27 16:27:20:210,Tiffiny,normal,normal,"-"
20,4,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 14:35:51:205,Micheline,normal,normal,"-"
21,2,Activity T,2020-06-27 15:17:33:120,Jack,normal,normal,"-"
