case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:50:004,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:42:56:247,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:32:23:824,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:22:40:606,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:55:12:878,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:42:09:601,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:30:40:043,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:00:004,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:44:01:352,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:43:58:185,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:10:004,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:53:39:289,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:46:05:729,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity B,2020-06-27 17:04:20:004,Tiffiny,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
4,2,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:04:30:004,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:35:07:735,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:24:39:001,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:04:40:004,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:42:58:446,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:35:47:566,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:50:004,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:28:18:784,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:21:10:118,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:00:004,Amanda,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,2,Activity C,2020-06-27 17:24:48:622,Lisa,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,3,Activity E,2020-06-27 18:15:32:672,Donald,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,4,Activity F,2020-06-27 18:49:21:868,Keven,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,5,Activity B,2020-06-27 19:27:54:980,Tiffiny,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,6,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:05:10:004,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:58:46:678,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:50:08:934,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:48:34:515,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 20:14:11:296,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 21:00:36:343,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:48:20:668,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:05:20:004,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:52:57:539,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:42:33:395,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:38:31:288,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 20:25:18:051,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 21:24:18:594,Sandra,normal,normal,"-"
