case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:55:147,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:19:15:091,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:11:12:118,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 17:04:57:177,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:48:43:358,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:39:03:605,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:13:53:282,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:05:147,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:29:13:524,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:17:09:229,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:15:147,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:06:59:819,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:55:36:242,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity B,2020-06-27 14:33:25:147,Tiffiny,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Seth'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
4,2,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:35:147,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:53:50:053,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:49:35:549,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:45:147,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:03:01:077,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:48:22:803,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:55:147,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:27:40:774,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 16:19:48:715,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:05:147,Amanda,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,2,Activity C,2020-06-27 15:30:45:197,Lisa,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,3,Activity E,2020-06-27 16:21:24:804,Donald,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,4,Activity F,2020-06-27 17:10:39:848,Keven,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,5,Activity B,2020-06-27 17:55:56:175,Tiffiny,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'James'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hoyt'}}]}"
8,6,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:34:15:147,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 15:13:49:422,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 16:09:36:925,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 16:55:47:981,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:55:35:365,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:50:15:709,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 19:34:20:368,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:34:25:147,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 15:06:30:639,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 16:00:42:096,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 16:55:09:888,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 17:43:29:800,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 18:32:55:562,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 19:09:39:136,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:28:24:370,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:34:35:147,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 15:18:45:327,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 16:09:51:919,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 16:46:11:972,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 17:08:22:426,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 17:59:51:041,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 18:51:10:236,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 19:13:56:585,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:45:147,Carmella,normal,normal,"-"
