case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:52:965,Velda,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,2,Activity AI,2020-06-27 15:03:31:187,Sharee,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,3,Activity AO,2020-06-27 15:51:44:123,Jack,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,4,Activity AJ,2020-06-27 16:24:26:716,Donald,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,5,Activity AL,2020-06-27 17:13:56:072,Rossana,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,6,Activity AM,2020-06-27 17:59:02:412,Marilyn,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,7,Activity AN,2020-06-27 18:41:54:486,Vickie,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,8,Activity B,2020-06-27 19:30:19:589,Alyce,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 2}"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:02:965,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 15:30:43:681,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 16:19:24:082,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 17:06:52:984,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:29:52:453,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:15:39:254,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 18:50:52:227,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:43:04:263,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:28:06:014,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:18:15:630,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:12:965,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:55:26:357,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:55:22:981,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:50:51:501,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:08:08:501,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:00:54:025,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:50:47:495,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:09:42:888,Brant,normal,normal,"-"
3,9,■,,,,,""
