case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Random activity 26,2020-06-27 14:32:27:243,Random user 12,normal,anomalous,"{'indices': [0, 4]}"
1,2,Activity A,2020-06-27 15:32:16:186,Velda,normal,anomalous,"{'indices': [0, 4]}"
1,3,Activity AI,2020-06-27 16:24:04:634,Sharee,normal,anomalous,"{'indices': [0, 4]}"
1,4,Activity AL,2020-06-27 17:20:56:436,Rossana,normal,anomalous,"{'indices': [0, 4]}"
1,5,Random activity 52,2020-06-27 18:14:47:216,Random user 18,normal,anomalous,"{'indices': [0, 4]}"
1,6,Activity AM,2020-06-27 19:01:31:872,Marilyn,normal,anomalous,"{'indices': [0, 4]}"
1,7,Activity AN,2020-06-27 19:36:25:475,Vickie,normal,anomalous,"{'indices': [0, 4]}"
1,8,Activity AO,2020-06-27 20:11:39:130,Jack,normal,anomalous,"{'indices': [0, 4]}"
1,9,Activity AJ,2020-06-27 21:04:12:855,Donald,normal,anomalous,"{'indices': [0, 4]}"
1,10,Activity B,2020-06-27 22:03:25:621,Alyce,normal,anomalous,"{'indices': [0, 4]}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:37:243,Micheline,normal,anomalous,"-"
2,2,Activity L,2020-06-27 15:25:03:134,Howard,normal,anomalous,"-"
2,3,Random activity 23,2020-06-27 16:19:16:294,Random user 4,normal,anomalous,"-"
2,4,Activity N,2020-06-27 16:59:59:770,Issac,normal,anomalous,"-"
2,5,Activity M,2020-06-27 17:29:09:632,Steve,normal,anomalous,"-"
2,6,Activity R,2020-06-27 18:14:44:537,Brant,normal,anomalous,"-"
2,7,Activity AC,2020-06-27 18:54:21:147,Steve,normal,anomalous,"-"
2,8,Activity AH,2020-06-27 19:47:09:573,Howard,normal,anomalous,"-"
2,9,Activity AD,2020-06-27 20:38:29:881,Craig,normal,anomalous,"-"
2,10,Activity S,2020-06-27 21:37:24:534,Lannie,normal,anomalous,"-"
2,11,Activity B,2020-06-27 21:53:49:553,Micheline,normal,anomalous,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:47:243,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:48:18:127,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:47:02:297,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:43:29:985,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:27:46:229,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:21:15:896,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:51:18:545,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:42:28:657,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:57:243,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:26:27:792,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:13:49:329,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:50:07:105,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:15:44:121,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:03:27:354,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:36:24:703,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:35:48:696,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:34:45:575,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:07:243,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:22:45:135,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 16:19:02:008,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:49:19:591,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:15:02:146,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:11:35:649,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:55:39:396,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:19:27:694,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:11:10:335,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 21:01:28:058,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:17:243,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 15:32:43:524,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 16:24:40:264,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 17:00:58:949,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:34:22:644,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:32:10:976,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 19:11:21:836,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:30:45:137,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:27:25:047,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:27:243,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 15:02:21:039,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 15:59:10:572,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:55:25:585,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 17:22:12:933,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 18:08:41:420,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 18:44:29:591,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 19:38:53:020,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:37:243,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 14:49:52:989,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 15:35:26:288,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 16:06:33:069,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 16:42:31:664,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 17:31:37:989,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 18:16:07:937,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 19:10:21:174,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 20:00:24:716,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:47:243,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 14:57:25:098,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 15:45:18:918,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 16:37:17:094,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 17:25:35:239,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 18:21:23:757,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 19:20:52:200,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 20:14:18:087,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Random activity 36,2020-06-27 14:33:57:243,Random user 15,normal,anomalous,"-"
10,2,Activity A,2020-06-27 15:28:56:917,Micheline,normal,anomalous,"-"
10,3,Activity L,2020-06-27 16:21:46:773,Donald,normal,anomalous,"-"
10,4,Activity P,2020-06-27 17:20:59:084,Deloras,normal,anomalous,"-"
10,5,Activity Q,2020-06-27 17:42:30:972,Donald,normal,anomalous,"-"
10,6,Activity M,2020-06-27 18:30:23:392,Howard,normal,anomalous,"-"
10,7,Activity R,2020-06-27 19:11:51:309,Joe,normal,anomalous,"-"
10,8,Activity AC,2020-06-27 19:33:29:382,Roseanne,normal,anomalous,"-"
10,9,Activity AF,2020-06-27 20:22:56:840,Gema,normal,anomalous,"-"
10,10,Activity AD,2020-06-27 20:54:19:798,Ling,normal,anomalous,"-"
10,11,Activity S,2020-06-27 21:50:46:476,Jack,normal,anomalous,"-"
10,12,Activity B,2020-06-27 22:18:32:516,Alyce,normal,anomalous,"-"
10,13,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:34:07:243,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 15:04:00:348,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 16:03:04:609,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 16:53:13:975,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 17:39:48:488,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 18:35:29:170,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 19:34:56:784,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 20:09:23:552,Brant,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Random activity 48,2020-06-27 14:34:17:243,Random user 57,normal,anomalous,"{'indices': [0, 2]}"
12,2,Activity A,2020-06-27 15:19:57:801,Velda,normal,anomalous,"{'indices': [0, 2]}"
12,3,Random activity 9,2020-06-27 16:15:06:284,Random user 34,normal,anomalous,"{'indices': [0, 2]}"
12,4,Activity AI,2020-06-27 16:50:12:312,Pam,normal,anomalous,"{'indices': [0, 2]}"
12,5,Activity AP,2020-06-27 17:44:28:596,Chan,normal,anomalous,"{'indices': [0, 2]}"
12,6,Activity AQ,2020-06-27 18:39:52:363,Jamika,normal,anomalous,"{'indices': [0, 2]}"
12,7,Activity AR,2020-06-27 19:33:49:820,Lucy,normal,anomalous,"{'indices': [0, 2]}"
12,8,Activity AS,2020-06-27 20:19:14:493,Clayton,normal,anomalous,"{'indices': [0, 2]}"
12,9,Activity AJ,2020-06-27 21:14:24:000,Ling,normal,anomalous,"{'indices': [0, 2]}"
12,10,Activity B,2020-06-27 21:56:27:683,Brant,normal,anomalous,"{'indices': [0, 2]}"
12,11,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:27:243,Amanda,normal,normal,"-"
13,2,Activity C,2020-06-27 15:24:21:712,Hannah,normal,normal,"-"
13,3,Activity D,2020-06-27 16:16:07:067,Hugo,normal,normal,"-"
13,4,Activity E,2020-06-27 17:06:51:456,Lannie,normal,normal,"-"
13,5,Activity H,2020-06-27 17:26:45:535,Keven,normal,normal,"-"
13,6,Activity F,2020-06-27 18:22:18:821,Jimmy,normal,normal,"-"
13,7,Activity J,2020-06-27 19:14:59:496,Ryan,normal,normal,"-"
13,8,Activity K,2020-06-27 20:01:41:437,Tiffiny,normal,normal,"-"
13,9,Activity B,2020-06-27 20:57:06:653,Alyce,normal,normal,"-"
13,10,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:37:243,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 15:33:40:227,Hannah,normal,normal,"-"
14,3,Activity D,2020-06-27 16:30:44:561,Hugo,normal,normal,"-"
14,4,Activity E,2020-06-27 17:07:42:929,Keven,normal,normal,"-"
14,5,Activity G,2020-06-27 17:45:42:827,Issac,normal,normal,"-"
14,6,Activity F,2020-06-27 18:43:52:940,Jimmy,normal,normal,"-"
