case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:28:528,Doretta,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,2,Activity C,2020-06-27 17:41:10:918,Jack,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,3,Activity F,2020-06-27 18:30:46:392,Howard,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,4,Activity D,2020-06-27 19:10:55:451,Wilton,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,5,Activity J,2020-06-27 19:40:39:640,Velda,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,6,Activity B,2020-06-27 20:33:53:299,Michaele,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity O,2020-06-27 17:03:38:528,Ronald,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,2,Activity U,2020-06-27 17:52:45:834,Velda,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,3,Activity X,2020-06-27 18:46:30:567,Pam,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,4,Activity V,2020-06-27 19:22:53:868,Maryellen,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,5,Activity P,2020-06-27 20:04:39:920,Ryan,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,6,Activity B,2020-06-27 21:03:48:230,Alpha,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:48:528,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:55:00:326,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:42:50:217,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:58:528,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:27:44:205,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:24:58:336,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 18:58:12:091,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:25:41:347,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:16:44:008,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 20:55:30:712,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 21:38:07:474,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:04:08:528,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:43:26:804,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:39:56:560,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:18:13:364,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 20:16:22:200,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 21:02:03:840,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:40:47:705,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:09:54:245,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:04:18:528,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:20:27:744,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:13:31:593,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 18:54:27:298,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 19:30:57:542,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 20:30:31:871,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 21:03:30:382,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:28:528,Rossana,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,2,Activity O,2020-06-27 17:32:26:828,Ronald,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,3,Activity U,2020-06-27 18:31:24:184,Jimmy,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,4,Activity W,2020-06-27 19:08:10:182,Evelin,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,5,Activity B,2020-06-27 19:47:05:605,Alpha,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,6,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:38:528,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:40:00:143,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:39:56:321,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:48:528,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:47:17:673,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:43:38:082,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 19:33:52:648,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 20:13:26:725,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 21:02:43:065,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 21:52:12:920,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:04:58:528,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 18:01:20:445,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 18:59:24:269,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:05:08:528,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 17:52:54:715,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 18:50:06:962,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 19:29:42:038,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 20:20:18:271,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 21:16:51:596,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 21:58:40:904,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 22:29:41:040,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:05:18:528,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 18:02:08:495,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 18:57:15:722,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 19:30:06:238,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 19:59:19:093,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 20:48:02:870,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 21:34:02:714,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 22:17:23:177,Sherlene,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:05:28:528,Rossana,normal,normal,"-"
13,2,Activity O,2020-06-27 17:47:12:275,Melany,normal,normal,"-"
13,3,Activity S,2020-06-27 18:46:50:370,Doretta,normal,normal,"-"
13,4,Activity T,2020-06-27 19:45:40:117,Velda,normal,normal,"-"
13,5,Activity P,2020-06-27 20:18:41:770,Jin,normal,normal,"-"
13,6,Activity B,2020-06-27 21:04:54:449,Sherell,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:05:38:528,Micheline,normal,normal,"-"
14,2,Activity Y,2020-06-27 17:31:33:456,Ling,normal,normal,"-"
14,3,Activity B,2020-06-27 18:29:49:079,Michaele,normal,normal,"-"
14,4,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:05:48:528,Doretta,normal,normal,"-"
15,2,Activity C,2020-06-27 17:42:39:494,Maryellen,normal,normal,"-"
15,3,Activity G,2020-06-27 18:36:29:865,Steve,normal,normal,"-"
15,4,Activity D,2020-06-27 19:07:49:936,Emily,normal,normal,"-"
15,5,Activity I,2020-06-27 19:38:59:342,Iluminada,normal,normal,"-"
15,6,Activity K,2020-06-27 20:26:04:366,Velda,normal,normal,"-"
15,7,Activity J,2020-06-27 21:01:17:266,Jamika,normal,normal,"-"
15,8,Activity B,2020-06-27 21:37:13:809,Michaele,normal,normal,"-"
