case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:45:772,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:05:42:972,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:02:35:464,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:49:52:321,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:10:26:272,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:02:46:821,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:55:772,Alyce,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,2,Activity N,2020-06-27 15:13:29:698,Wilton,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,3,Activity Y,2020-06-27 16:03:28:791,Lourdes,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,4,Activity AD,2020-06-27 16:38:37:970,Sherlene,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,5,Activity Z,2020-06-27 17:11:34:765,Michaele,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,6,Activity O,2020-06-27 18:03:31:652,Keven,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,7,Activity B,2020-06-27 18:42:32:569,Grayce,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:05:772,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:20:41:594,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:05:56:047,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:51:11:155,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:44:00:888,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:37:40:336,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:15:772,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:54:58:939,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:52:00:656,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:49:47:149,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:09:42:435,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:06:06:690,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:40:47:148,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:25:772,Alyce,normal,anomalous,"{'index': [2, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sandra', 'Deloras']}"
5,2,Activity N,2020-06-27 14:52:30:876,Brant,normal,anomalous,"{'index': [2, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sandra', 'Deloras']}"
5,3,Activity AG,2020-06-27 15:51:20:118,Charles,normal,anomalous,"{'index': [2, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sandra', 'Deloras']}"
5,4,Activity AH,2020-06-27 16:22:40:380,Jamika,normal,anomalous,"{'index': [2, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sandra', 'Deloras']}"
5,5,Activity O,2020-06-27 17:04:16:532,Howard,normal,anomalous,"{'index': [2, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sandra', 'Deloras']}"
5,6,Activity B,2020-06-27 17:49:28:798,Hassie,normal,anomalous,"{'index': [2, 5], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sandra', 'Deloras']}"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:35:772,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:02:39:493,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:57:33:240,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:45:48:305,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:38:32:969,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:25:25:033,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:45:772,Della,normal,anomalous,"{'index': [1, 2, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Sandra', 'Grayce']}"
7,2,Activity N,2020-06-27 15:24:57:409,Johnny,normal,anomalous,"{'index': [1, 2, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Sandra', 'Grayce']}"
7,3,Activity AG,2020-06-27 16:14:10:378,Jamika,normal,anomalous,"{'index': [1, 2, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Sandra', 'Grayce']}"
7,4,Activity AH,2020-06-27 16:46:52:892,Jamika,normal,anomalous,"{'index': [1, 2, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Sandra', 'Grayce']}"
7,5,Activity O,2020-06-27 17:18:00:894,Howard,normal,anomalous,"{'index': [1, 2, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Sandra', 'Grayce']}"
7,6,Activity B,2020-06-27 18:07:52:950,Marilyn,normal,anomalous,"{'index': [1, 2, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Hassie', 'Sandra', 'Grayce']}"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:55:772,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:08:42:734,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:59:00:973,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:47:35:511,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:21:02:458,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:06:54:397,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:34:05:772,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 15:02:39:377,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:57:01:143,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:38:59:466,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 16:55:53:752,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 17:41:22:966,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:34:15:772,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 14:55:07:418,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 15:42:38:919,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 16:28:48:387,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 17:09:40:739,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 18:03:42:999,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 18:35:30:590,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:34:25:772,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 15:19:32:996,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 16:08:22:189,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:51:06:782,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 17:47:02:547,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 18:40:04:725,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 19:28:12:651,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:35:772,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 15:03:51:253,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 15:50:08:623,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 16:36:42:553,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 17:04:16:031,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 18:03:43:746,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:45:772,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 15:26:52:327,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 16:14:17:291,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 16:49:03:319,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 17:24:59:825,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 18:18:16:241,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:55:772,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 14:51:08:569,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 15:39:26:654,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 16:32:49:930,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 16:48:08:819,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 17:38:17:925,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:35:05:772,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 15:08:12:541,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 16:04:43:590,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 16:58:41:679,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 17:20:38:548,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 18:07:33:751,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 19:02:10:707,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:35:15:772,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 14:51:44:271,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 15:39:27:018,Sandra,normal,normal,"-"
