case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:19:822,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:25:42:515,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:12:47:069,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 18:54:55:539,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:19:30:141,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:06:54:061,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity O,2020-06-27 17:03:29:822,Keven,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 17:30:06:172,Alyce,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,3,Activity N,2020-06-27 18:24:53:294,Wilton,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,4,Activity Y,2020-06-27 19:13:23:523,Lourdes,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,5,Activity AD,2020-06-27 19:55:27:113,Brant,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,6,Activity Z,2020-06-27 20:41:45:501,Michaele,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,7,Activity B,2020-06-27 21:28:06:669,Grayce,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:39:822,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:35:25:818,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:27:13:566,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:03:23:639,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:51:33:824,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:38:32:975,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:49:822,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:21:22:308,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:17:46:773,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 18:49:15:229,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:08:40:906,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:06:42:071,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:04:47:910,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:59:822,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:48:58:309,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:48:26:133,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:48:04:356,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 20:12:55:637,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 21:04:18:713,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:04:09:822,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:34:26:684,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:29:55:282,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:04:43:524,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 19:34:46:396,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 20:21:40:903,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:19:822,Della,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,2,Activity AH,2020-06-27 17:41:48:282,Jamika,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,3,Activity O,2020-06-27 18:36:15:775,Howard,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,4,Activity N,2020-06-27 19:24:46:835,Hassie,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,5,Activity AG,2020-06-27 20:20:22:264,Sandra,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,6,Activity B,2020-06-27 21:13:34:586,Grayce,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:29:822,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:33:17:558,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:25:15:450,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 18:55:20:517,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 19:24:06:772,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 20:14:28:084,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:39:822,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:53:50:684,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:46:45:699,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:39:16:415,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 20:36:27:065,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 21:33:55:864,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:04:49:822,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:26:07:892,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:19:36:616,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 18:54:27:404,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:22:20:662,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:08:39:448,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 21:02:00:740,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:04:59:822,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 17:21:03:228,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:13:09:855,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:12:56:185,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 19:39:28:009,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 20:27:23:297,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 21:10:48:670,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:05:09:822,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 17:47:29:592,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 18:39:48:278,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 19:30:42:202,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 19:54:35:486,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 20:49:56:590,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:05:19:822,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 17:21:35:211,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 18:16:55:009,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 19:15:23:376,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 19:39:00:701,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 20:25:03:049,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity N,2020-06-27 17:05:29:822,Roseanne,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,2,Activity P,2020-06-27 17:55:06:540,James,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,3,Activity A,2020-06-27 18:42:53:785,Della,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,4,Activity Q,2020-06-27 19:17:00:513,Della,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
14,5,Activity O,2020-06-27 19:55:19:075,Hugo,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 2}"
