case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:30:390,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:21:18:242,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:08:43:522,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 17:01:16:882,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:26:34:499,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:18:57:164,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:40:390,Alyce,normal,anomalous,"-"
2,2,Activity N,2020-06-27 15:01:20:476,Wilton,normal,anomalous,"-"
2,3,Activity Y,2020-06-27 15:54:37:064,Lourdes,normal,anomalous,"-"
2,4,Random activity 24,2020-06-27 16:40:32:743,Random user 66,normal,anomalous,"-"
2,5,Activity AD,2020-06-27 17:29:38:492,Brant,normal,anomalous,"-"
2,6,Activity Z,2020-06-27 18:14:46:593,Michaele,normal,anomalous,"-"
2,7,Activity O,2020-06-27 18:50:56:626,Keven,normal,anomalous,"-"
2,8,Activity B,2020-06-27 19:44:32:516,Grayce,normal,anomalous,"-"
2,9,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:50:390,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:24:18:482,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:09:41:700,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:55:49:007,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:48:25:015,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:47:30:936,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:00:390,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:32:16:256,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:29:02:408,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 17:03:35:646,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:42:27:624,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:31:37:176,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:14:17:843,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:10:390,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:59:33:618,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:48:33:477,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:25:08:211,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:21:34:435,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:18:06:161,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:20:390,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:00:33:887,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:51:36:327,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:22:02:108,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 16:41:13:550,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 17:27:35:120,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:30:390,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 14:58:51:876,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:58:48:467,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:57:05:266,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:44:13:419,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:36:11:171,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:40:390,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:08:08:524,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:53:10:839,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:31:19:554,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:28:33:668,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:23:03:544,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:50:390,Della,normal,anomalous,"-"
9,2,Random activity 30,2020-06-27 15:31:39:528,Random user 29,normal,anomalous,"-"
9,3,Activity N,2020-06-27 16:18:26:198,Brant,normal,anomalous,"-"
9,4,Activity AG,2020-06-27 17:02:17:186,Sandra,normal,anomalous,"-"
9,5,Activity AH,2020-06-27 17:22:56:794,Jamika,normal,anomalous,"-"
9,6,Activity O,2020-06-27 18:11:29:221,Howard,normal,anomalous,"-"
9,7,Activity B,2020-06-27 18:54:06:966,Deloras,normal,anomalous,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:34:00:390,Della,normal,normal,"-"
