case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:39:516,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:45:12:674,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:35:50:972,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:14:48:394,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:59:30:264,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:58:21:858,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:47:04:399,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:49:516,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:31:47:033,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:19:51:142,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:59:516,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 18:01:11:715,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:58:04:696,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:09:516,Craig,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,2,Activity BC,2020-06-27 17:39:28:005,Lucy,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,3,Activity B,2020-06-27 18:29:03:094,Tiffiny,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Seth', 'Micheline']}"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:19:516,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 18:00:10:653,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:56:33:040,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:29:516,Iluminada,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,2,Activity BC,2020-06-27 17:54:05:792,Micheline,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,3,Activity B,2020-06-27 18:42:07:217,Gema,normal,anomalous,"{'index': [0, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Joe', 'Tiffiny']}"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:39:516,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:48:23:704,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:37:00:576,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:49:516,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:36:00:932,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:31:11:413,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:06:07:738,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 19:21:57:142,James,normal,normal,"-"
8,6,Activity S,2020-06-27 20:16:37:846,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 21:10:45:812,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:05:59:516,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:36:43:330,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:28:16:089,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:16:10:964,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 19:53:13:871,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 20:47:12:547,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:29:33:197,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
