case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:09:557,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:43:55:962,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:42:44:946,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:18:24:181,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:52:37:263,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:39:44:342,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:38:03:681,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:19:557,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:42:01:545,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:40:24:057,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:29:557,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:24:47:953,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:21:01:136,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Random activity 47,2020-06-27 17:05:39:557,Random user 44,normal,anomalous,"-"
4,2,Activity A,2020-06-27 17:46:05:424,Seth,normal,anomalous,"-"
4,3,Activity BC,2020-06-27 18:44:21:061,Micheline,normal,anomalous,"-"
4,4,Activity B,2020-06-27 19:24:37:592,Tiffiny,normal,anomalous,"-"
4,5,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:49:557,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:24:35:308,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:12:42:516,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Random activity 7,2020-06-27 17:05:59:557,Random user 62,normal,anomalous,"-"
6,2,Activity A,2020-06-27 17:38:50:887,Joe,normal,anomalous,"-"
6,3,Activity BC,2020-06-27 18:35:53:949,Micheline,normal,anomalous,"-"
6,4,Activity B,2020-06-27 19:22:25:778,Tiffiny,normal,anomalous,"-"
6,5,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:06:09:557,Carmella,normal,anomalous,"-"
7,2,Random activity 20,2020-06-27 17:56:55:977,Random user 30,normal,anomalous,"-"
7,3,Activity BC,2020-06-27 18:42:20:178,Micheline,normal,anomalous,"-"
7,4,Activity B,2020-06-27 19:41:52:342,Tiffiny,normal,anomalous,"-"
7,5,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:06:19:557,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:45:53:244,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:39:25:091,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:19:26:215,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 19:48:29:871,James,normal,normal,"-"
8,6,Activity S,2020-06-27 20:45:15:230,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 21:18:25:094,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:06:29:557,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:29:11:503,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:24:43:437,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:07:40:455,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 19:47:02:534,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 20:36:00:371,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:15:01:403,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Random activity 48,2020-06-27 17:06:39:557,Random user 34,normal,anomalous,"-"
10,2,Activity A,2020-06-27 17:59:49:978,Doretta,normal,anomalous,"-"
10,3,Activity C,2020-06-27 18:59:15:624,Seth,normal,anomalous,"-"
10,4,Activity L,2020-06-27 19:47:31:213,Pam,normal,anomalous,"-"
10,5,Activity N,2020-06-27 20:35:20:852,Paul,normal,anomalous,"-"
10,6,Activity M,2020-06-27 21:20:36:221,Jack,normal,anomalous,"-"
10,7,Activity D,2020-06-27 21:59:52:360,Sandra,normal,anomalous,"-"
10,8,Activity S,2020-06-27 22:37:14:857,Gema,normal,anomalous,"-"
10,9,Activity B,2020-06-27 23:29:48:919,Ronald,normal,anomalous,"-"
10,10,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:06:49:557,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 17:39:47:811,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 18:39:23:362,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 19:25:57:658,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 20:06:20:860,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 20:58:10:618,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 21:49:20:103,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 22:29:18:032,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:06:59:557,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 18:02:55:473,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 18:49:33:461,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:07:09:557,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 17:35:55:622,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 18:26:11:888,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:07:19:557,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 17:39:36:869,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 18:38:56:039,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 19:31:41:962,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 20:17:43:260,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 21:04:21:401,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 21:40:07:313,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 22:03:40:728,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:07:29:557,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 17:51:03:043,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 18:48:40:984,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:07:39:557,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 17:24:57:316,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 18:10:58:051,Michaele,normal,normal,"-"
16,4,Activity AG,2020-06-27 19:01:30:268,Charles,normal,normal,"-"
16,5,Activity AH,2020-06-27 20:00:05:463,Doretta,normal,normal,"-"
16,6,Activity AD,2020-06-27 20:46:37:378,Brant,normal,normal,"-"
16,7,Activity U,2020-06-27 21:39:39:183,Hannah,normal,normal,"-"
16,8,Activity B,2020-06-27 22:23:57:736,Ronald,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Random activity 15,2020-06-27 17:07:49:557,Random user 23,normal,anomalous,"{'indices': [0, 4]}"
17,2,Activity A,2020-06-27 17:33:38:758,Amanda,normal,anomalous,"{'indices': [0, 4]}"
17,3,Activity C,2020-06-27 18:21:38:960,Della,normal,anomalous,"{'indices': [0, 4]}"
17,4,Activity G,2020-06-27 18:54:15:463,Clayton,normal,anomalous,"{'indices': [0, 4]}"
17,5,Random activity 69,2020-06-27 19:21:43:611,Random user 33,normal,anomalous,"{'indices': [0, 4]}"
17,6,Activity K,2020-06-27 20:07:10:761,Sandra,normal,anomalous,"{'indices': [0, 4]}"
17,7,Activity H,2020-06-27 20:37:32:027,Keven,normal,anomalous,"{'indices': [0, 4]}"
17,8,Activity D,2020-06-27 21:13:34:145,Hassie,normal,anomalous,"{'indices': [0, 4]}"
17,9,Activity S,2020-06-27 22:05:04:901,Velda,normal,anomalous,"{'indices': [0, 4]}"
17,10,Activity B,2020-06-27 22:48:04:724,Tiffiny,normal,anomalous,"{'indices': [0, 4]}"
17,11,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:07:59:557,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 17:36:53:390,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 18:22:25:091,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 19:07:54:172,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 20:04:11:149,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 21:03:06:949,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 21:58:57:450,Ryan,normal,normal,"-"
18,8,Activity B,2020-06-27 22:35:38:726,Deloras,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Random activity 67,2020-06-27 17:08:09:557,Random user 9,normal,anomalous,"{'indices': [0, 7]}"
19,2,Activity A,2020-06-27 17:47:47:492,Frances,normal,anomalous,"{'indices': [0, 7]}"
19,3,Activity BD,2020-06-27 18:46:39:739,Lisa,normal,anomalous,"{'indices': [0, 7]}"
19,4,Activity BP,2020-06-27 19:43:24:475,Carmella,normal,anomalous,"{'indices': [0, 7]}"
19,5,Activity BE,2020-06-27 20:25:09:835,Lisa,normal,anomalous,"{'indices': [0, 7]}"
19,6,Activity BQ,2020-06-27 21:23:14:395,Jamika,normal,anomalous,"{'indices': [0, 7]}"
19,7,Activity BR,2020-06-27 22:19:09:181,Elisha,normal,anomalous,"{'indices': [0, 7]}"
19,8,Random activity 5,2020-06-27 23:07:19:048,Random user 45,normal,anomalous,"{'indices': [0, 7]}"
19,9,Activity BU,2020-06-28 00:02:17:611,Clayton,normal,anomalous,"{'indices': [0, 7]}"
19,10,Activity BS,2020-06-28 00:38:39:658,Hoyt,normal,anomalous,"{'indices': [0, 7]}"
19,11,Activity B,2020-06-28 01:38:18:689,Joe,normal,anomalous,"{'indices': [0, 7]}"
19,12,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:08:19:557,Joe,normal,normal,"-"
20,2,Activity BC,2020-06-27 17:23:29:527,Micheline,normal,normal,"-"
20,3,Activity B,2020-06-27 18:21:22:974,Tiffiny,normal,normal,"-"
20,4,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 17:08:29:557,Micheline,normal,normal,"-"
21,2,Activity T,2020-06-27 17:55:27:199,Jack,normal,normal,"-"
21,3,Activity AN,2020-06-27 18:53:48:274,Brian,normal,normal,"-"
21,4,Activity AP,2020-06-27 19:39:52:120,Tiffiny,normal,normal,"-"
21,5,Activity AO,2020-06-27 20:19:36:429,Iluminada,normal,normal,"-"
21,6,Activity U,2020-06-27 21:12:01:113,Hoyt,normal,normal,"-"
21,7,Activity B,2020-06-27 21:58:47:606,Rossie,normal,normal,"-"
21,8,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 17:08:39:557,Joe,normal,normal,"-"
22,2,Activity BC,2020-06-27 17:37:04:287,Micheline,normal,normal,"-"
22,3,Activity B,2020-06-27 18:33:51:460,Tiffiny,normal,normal,"-"
22,4,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 17:08:49:557,Micheline,normal,anomalous,"{'indices': [2, 5]}"
23,2,Activity T,2020-06-27 17:24:50:442,Grayce,normal,anomalous,"{'indices': [2, 5]}"
23,3,Random activity 26,2020-06-27 18:13:46:572,Random user 14,normal,anomalous,"{'indices': [2, 5]}"
23,4,Activity AC,2020-06-27 18:58:41:481,Ling,normal,anomalous,"{'indices': [2, 5]}"
23,5,Activity AE,2020-06-27 19:14:41:759,Amanda,normal,anomalous,"{'indices': [2, 5]}"
23,6,Random activity 14,2020-06-27 20:04:51:685,Random user 57,normal,anomalous,"{'indices': [2, 5]}"
23,7,Activity AD,2020-06-27 20:51:19:458,Howard,normal,anomalous,"{'indices': [2, 5]}"
23,8,Activity U,2020-06-27 21:21:51:190,Rossie,normal,anomalous,"{'indices': [2, 5]}"
23,9,Activity B,2020-06-27 22:17:48:056,Joe,normal,anomalous,"{'indices': [2, 5]}"
23,10,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 17:08:59:557,Micheline,normal,normal,"-"
24,2,Activity T,2020-06-27 18:00:30:770,Jack,normal,normal,"-"
24,3,Activity AN,2020-06-27 18:46:17:302,Micheline,normal,normal,"-"
24,4,Activity AP,2020-06-27 19:34:30:649,Tiffiny,normal,normal,"-"
24,5,Activity AO,2020-06-27 19:59:11:724,Iluminada,normal,normal,"-"
24,6,Activity U,2020-06-27 20:46:24:750,Lisa,normal,normal,"-"
24,7,Activity B,2020-06-27 21:43:03:453,Lucy,normal,normal,"-"
24,8,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 17:09:09:557,Carmella,normal,normal,"-"
25,2,Activity BC,2020-06-27 17:37:40:241,Micheline,normal,normal,"-"
25,3,Activity B,2020-06-27 18:26:18:849,Tiffiny,normal,normal,"-"
25,4,■,,,,,""
26,0,▶,,,,,""
26,1,Activity A,2020-06-27 17:09:19:557,Joe,normal,normal,"-"
26,2,Activity BC,2020-06-27 17:34:40:631,Micheline,normal,normal,"-"
26,3,Activity B,2020-06-27 18:29:56:507,Tiffiny,normal,normal,"-"
26,4,■,,,,,""
27,0,▶,,,,,""
27,1,Activity A,2020-06-27 17:09:29:557,Amanda,normal,normal,"-"
27,2,Activity C,2020-06-27 17:42:46:730,Della,normal,normal,"-"
27,3,Activity G,2020-06-27 18:35:34:633,Alyce,normal,normal,"-"
27,4,Activity I,2020-06-27 19:26:10:623,Lannie,normal,normal,"-"
27,5,Activity H,2020-06-27 19:57:50:098,James,normal,normal,"-"
27,6,Activity D,2020-06-27 20:46:09:935,Hassie,normal,normal,"-"
27,7,Activity S,2020-06-27 21:37:11:744,Velda,normal,normal,"-"
27,8,Activity B,2020-06-27 21:58:20:693,Grayce,normal,normal,"-"
27,9,■,,,,,""
28,0,▶,,,,,""
28,1,Activity A,2020-06-27 17:09:39:557,Joe,normal,normal,"-"
