case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Random activity 26,2020-06-27 17:05:01:552,Random user 12,normal,anomalous,"{'indices': [0, 4]}"
1,2,Activity A,2020-06-27 17:33:22:464,Velda,normal,anomalous,"{'indices': [0, 4]}"
1,3,Activity AI,2020-06-27 18:26:06:765,Sharee,normal,anomalous,"{'indices': [0, 4]}"
1,4,Activity AL,2020-06-27 19:09:21:850,Rossana,normal,anomalous,"{'indices': [0, 4]}"
1,5,Random activity 52,2020-06-27 19:28:45:480,Random user 18,normal,anomalous,"{'indices': [0, 4]}"
1,6,Activity AM,2020-06-27 20:28:11:217,Marilyn,normal,anomalous,"{'indices': [0, 4]}"
1,7,Activity AN,2020-06-27 21:16:03:648,Vickie,normal,anomalous,"{'indices': [0, 4]}"
1,8,Activity AO,2020-06-27 21:51:28:566,Jack,normal,anomalous,"{'indices': [0, 4]}"
1,9,Activity AJ,2020-06-27 22:40:13:731,Donald,normal,anomalous,"{'indices': [0, 4]}"
1,10,Activity B,2020-06-27 23:19:22:507,Alyce,normal,anomalous,"{'indices': [0, 4]}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:11:552,Micheline,normal,anomalous,"-"
2,2,Activity L,2020-06-27 17:32:41:852,Howard,normal,anomalous,"-"
2,3,Random activity 23,2020-06-27 18:21:33:259,Random user 4,normal,anomalous,"-"
2,4,Activity N,2020-06-27 18:56:15:988,Issac,normal,anomalous,"-"
2,5,Activity M,2020-06-27 19:21:37:484,Steve,normal,anomalous,"-"
2,6,Activity R,2020-06-27 20:07:30:561,Brant,normal,anomalous,"-"
2,7,Activity AC,2020-06-27 20:54:36:852,Steve,normal,anomalous,"-"
2,8,Activity AH,2020-06-27 21:52:51:263,Howard,normal,anomalous,"-"
2,9,Activity AD,2020-06-27 22:38:35:977,Craig,normal,anomalous,"-"
2,10,Activity S,2020-06-27 23:34:02:749,Lannie,normal,anomalous,"-"
2,11,Activity B,2020-06-28 00:12:33:582,Micheline,normal,anomalous,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:21:552,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:31:35:294,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:23:58:215,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:13:18:433,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 19:35:41:631,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:21:11:508,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 20:52:19:750,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 21:13:29:452,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:31:552,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:43:40:460,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:35:29:449,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:27:48:603,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 20:21:16:747,James,normal,normal,"-"
4,6,Activity F,2020-06-27 21:12:46:551,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:45:39:478,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 22:02:15:171,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 22:59:17:506,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Random activity 7,2020-06-27 17:05:41:552,Random user 62,normal,anomalous,"{'indices': [0, 5]}"
5,2,Activity A,2020-06-27 18:00:33:240,Micheline,normal,anomalous,"{'indices': [0, 5]}"
5,3,Activity L,2020-06-27 18:52:57:062,Howard,normal,anomalous,"{'indices': [0, 5]}"
5,4,Activity N,2020-06-27 19:42:01:693,Issac,normal,anomalous,"{'indices': [0, 5]}"
5,5,Activity M,2020-06-27 19:58:37:088,Steve,normal,anomalous,"{'indices': [0, 5]}"
5,6,Random activity 8,2020-06-27 20:54:51:559,Random user 31,normal,anomalous,"{'indices': [0, 5]}"
5,7,Activity R,2020-06-27 21:39:02:633,Amanda,normal,anomalous,"{'indices': [0, 5]}"
5,8,Activity W,2020-06-27 22:32:59:061,Chan,normal,anomalous,"{'indices': [0, 5]}"
5,9,Activity AB,2020-06-27 23:29:18:438,Junior,normal,anomalous,"{'indices': [0, 5]}"
5,10,Activity X,2020-06-28 00:21:39:320,Ryan,normal,anomalous,"{'indices': [0, 5]}"
5,11,Activity S,2020-06-28 00:37:25:744,Keven,normal,anomalous,"{'indices': [0, 5]}"
5,12,Activity B,2020-06-28 01:34:13:606,Hoyt,normal,anomalous,"{'indices': [0, 5]}"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:51:552,Steve,normal,anomalous,"{'indices': [1, 8]}"
