case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:00:383,Velda,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,2,Activity AI,2020-06-27 17:21:57:960,Sharee,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,3,Activity AN,2020-06-27 18:13:28:346,Vickie,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,4,Activity AO,2020-06-27 19:01:40:611,Jack,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,5,Activity AJ,2020-06-27 19:39:55:889,Donald,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,6,Activity AL,2020-06-27 20:38:28:206,Rossana,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,7,Activity AM,2020-06-27 21:36:02:649,Marilyn,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,8,Activity B,2020-06-27 22:33:53:636,Alyce,normal,anomalous,"{'shift_from': 2, 'shift_to': 5, 'size': 2}"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:10:383,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 17:50:18:997,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:40:09:072,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:24:10:016,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 20:12:24:873,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 20:59:41:027,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 21:59:00:072,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 22:45:13:821,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 23:37:46:272,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-28 00:13:46:446,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:20:383,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:39:44:306,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:34:43:830,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:33:29:056,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 19:56:18:012,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:49:28:460,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:35:37:669,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:25:02:056,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:30:383,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 18:00:58:849,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 19:00:25:559,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:36:45:448,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 20:20:08:483,James,normal,normal,"-"
4,6,Activity F,2020-06-27 21:15:02:024,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 22:01:48:560,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 22:24:42:783,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 23:09:57:812,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:40:383,Micheline,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,2,Activity M,2020-06-27 17:26:21:190,Steve,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,3,Activity R,2020-06-27 18:20:27:853,Amanda,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,4,Activity W,2020-06-27 19:00:47:484,Chan,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,5,Activity AB,2020-06-27 19:44:19:009,Junior,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,6,Activity L,2020-06-27 20:39:11:836,Howard,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,7,Activity N,2020-06-27 21:27:32:915,Issac,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,8,Activity X,2020-06-27 22:05:13:632,Ryan,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,9,Activity S,2020-06-27 22:52:41:645,Keven,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,10,Activity B,2020-06-27 23:27:00:229,Hoyt,normal,anomalous,"{'shift_from': 1, 'shift_to': 5, 'size': 2}"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:50:383,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 17:23:06:770,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 18:14:58:743,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 18:52:34:480,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 19:36:48:521,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 20:32:24:415,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 21:15:10:861,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 21:33:34:308,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 22:18:44:187,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:06:00:383,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 17:23:36:316,Pam,normal,normal,"-"
