case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:34:00:392,Doretta,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,2,Activity C,2020-06-27 15:28:11:860,Jack,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,3,Activity F,2020-06-27 16:17:14:619,Howard,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,4,Activity D,2020-06-27 17:13:00:514,Wilton,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,5,Activity I,2020-06-27 17:36:08:560,Maryellen,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,6,Activity K,2020-06-27 18:22:26:579,Issac,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,7,Activity J,2020-06-27 19:02:08:581,Velda,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,8,Activity B,2020-06-27 19:58:11:651,Sigrid,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Michaele']}"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:34:10:392,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:07:39:994,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 16:04:34:388,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:53:21:149,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:15:19:770,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:09:34:283,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:41:33:965,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:34:20:392,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:10:39:103,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:03:34:843,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:34:30:392,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:52:57:841,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:42:56:411,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:41:52:964,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:10:27:742,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:56:29:536,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:28:07:423,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:11:04:979,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:40:392,Doretta,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,2,Activity C,2020-06-27 14:51:56:705,Della,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,3,Activity G,2020-06-27 15:50:23:597,Steve,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,4,Activity D,2020-06-27 16:28:44:709,Deloras,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,5,Activity I,2020-06-27 17:00:29:585,Howard,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,6,Activity M,2020-06-27 17:58:22:322,Jin,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,7,Activity J,2020-06-27 18:35:42:070,Lourdes,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,8,Activity B,2020-06-27 19:04:28:737,Michaele,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Brian']}"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:50:392,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:53:25:197,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:40:47:787,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:37:41:879,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 16:57:51:763,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:56:41:082,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:46:03:816,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:35:00:392,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 15:25:10:875,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 16:14:19:157,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:51:15:587,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:39:18:193,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:27:57:579,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:59:04:600,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:35:10:392,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:22:11:079,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:20:24:693,Michaele,normal,normal,"-"
8,4,■,,,,,""
