case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity K,2020-06-27 14:33:46:981,Issac,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,2,Activity J,2020-06-27 15:04:14:300,Velda,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,3,Activity A,2020-06-27 15:49:37:470,Doretta,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,4,Activity C,2020-06-27 16:32:57:979,Jack,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,5,Activity F,2020-06-27 17:29:22:923,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,6,Activity D,2020-06-27 18:28:26:551,Wilton,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,7,Activity I,2020-06-27 19:05:40:399,Maryellen,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,8,Activity B,2020-06-27 19:53:20:278,Michaele,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:56:981,Rossana,normal,anomalous,"{'shift_from': 4, 'shift_to': 2, 'size': 1}"
2,2,Activity O,2020-06-27 14:51:25:476,Ronald,normal,anomalous,"{'shift_from': 4, 'shift_to': 2, 'size': 1}"
2,3,Activity X,2020-06-27 15:48:35:778,Pam,normal,anomalous,"{'shift_from': 4, 'shift_to': 2, 'size': 1}"
2,4,Activity U,2020-06-27 16:19:22:083,Velda,normal,anomalous,"{'shift_from': 4, 'shift_to': 2, 'size': 1}"
2,5,Activity V,2020-06-27 17:02:41:411,Maryellen,normal,anomalous,"{'shift_from': 4, 'shift_to': 2, 'size': 1}"
2,6,Activity P,2020-06-27 18:01:48:515,Ryan,normal,anomalous,"{'shift_from': 4, 'shift_to': 2, 'size': 1}"
2,7,Activity B,2020-06-27 18:51:14:443,Alpha,normal,anomalous,"{'shift_from': 4, 'shift_to': 2, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity Y,2020-06-27 14:34:06:981,Marilyn,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,2,Activity A,2020-06-27 15:14:31:401,Shandi,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,3,Activity B,2020-06-27 16:11:33:612,Michaele,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:34:16:981,Steve,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,2,Activity G,2020-06-27 15:14:17:428,Steve,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,3,Activity C,2020-06-27 16:13:12:983,Keven,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,4,Activity D,2020-06-27 16:47:38:408,Emily,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,5,Activity I,2020-06-27 17:18:20:500,Keven,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,6,Activity L,2020-06-27 18:14:40:661,Sandra,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,7,Activity J,2020-06-27 18:53:48:428,Gema,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,8,Activity B,2020-06-27 19:31:48:186,Carmella,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity M,2020-06-27 14:34:26:981,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,2,Activity J,2020-06-27 15:20:38:758,Brian,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,3,Activity A,2020-06-27 16:19:51:320,Doretta,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,4,Activity C,2020-06-27 17:14:49:219,Della,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,5,Activity G,2020-06-27 18:09:54:298,Steve,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,6,Activity D,2020-06-27 19:06:54:760,Deloras,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,7,Activity I,2020-06-27 20:02:26:805,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,8,Activity B,2020-06-27 20:33:59:732,Michaele,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:36:981,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:09:58:894,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 16:01:46:411,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:38:43:757,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:35:45:506,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:23:56:366,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:20:05:036,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:46:981,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 15:26:25:180,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 16:17:16:998,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 17:03:31:454,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:43:00:957,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:38:26:275,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 19:10:30:495,Alpha,normal,normal,"-"
