case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:59:127,Doretta,normal,anomalous,"{'indices': [3, 7]}"
1,2,Activity C,2020-06-27 17:35:32:224,Jack,normal,anomalous,"{'indices': [3, 7]}"
1,3,Activity F,2020-06-27 18:22:37:908,Howard,normal,anomalous,"{'indices': [3, 7]}"
1,4,Random activity 26,2020-06-27 19:12:03:938,Random user 63,normal,anomalous,"{'indices': [3, 7]}"
1,5,Activity D,2020-06-27 20:07:28:227,Wilton,normal,anomalous,"{'indices': [3, 7]}"
1,6,Activity I,2020-06-27 20:59:46:464,Maryellen,normal,anomalous,"{'indices': [3, 7]}"
1,7,Activity K,2020-06-27 21:55:34:054,Issac,normal,anomalous,"{'indices': [3, 7]}"
1,8,Random activity 5,2020-06-27 22:36:41:959,Random user 24,normal,anomalous,"{'indices': [3, 7]}"
1,9,Activity J,2020-06-27 23:31:48:855,Velda,normal,anomalous,"{'indices': [3, 7]}"
1,10,Activity B,2020-06-28 00:28:28:064,Michaele,normal,anomalous,"{'indices': [3, 7]}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:09:127,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:44:15:110,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:44:08:000,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:33:36:851,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 19:58:44:246,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:44:46:940,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:28:15:728,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:19:127,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:25:35:665,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:20:13:269,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:29:127,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 18:04:31:485,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:54:45:766,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:46:16:776,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 20:21:31:744,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 21:12:18:151,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:46:10:658,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 22:44:50:361,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:39:127,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:49:05:428,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:38:19:376,Steve,normal,normal,"-"
