case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:55:187,Doretta,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,2,Activity C,2020-06-27 18:01:22:945,Jack,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,3,Activity F,2020-06-27 18:58:22:580,Howard,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,4,Activity D,2020-06-27 19:44:38:553,Wilton,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,5,Activity J,2020-06-27 20:21:01:519,Velda,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,6,Activity B,2020-06-27 21:16:17:880,Michaele,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity O,2020-06-27 17:05:05:187,Ronald,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,2,Activity U,2020-06-27 17:23:05:790,Velda,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,3,Activity X,2020-06-27 18:16:16:961,Pam,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,4,Activity V,2020-06-27 18:47:20:461,Maryellen,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,5,Activity P,2020-06-27 19:46:19:232,Ryan,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,6,Activity B,2020-06-27 20:43:48:970,Alpha,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:15:187,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:30:45:351,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:22:22:188,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:25:187,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:54:31:268,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:44:59:915,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:33:46:618,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:55:16:422,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:46:00:908,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:28:33:329,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 21:58:09:563,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:35:187,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 18:03:56:441,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:50:41:376,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:35:09:578,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 20:28:46:437,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 21:23:29:924,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 22:11:23:107,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:32:08:978,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:45:187,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:21:21:019,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:12:32:632,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:11:29:608,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 20:03:24:381,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 21:02:06:196,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 21:41:34:191,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:55:187,Rossana,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,2,Activity O,2020-06-27 18:05:37:921,Ronald,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,3,Activity U,2020-06-27 19:00:10:760,Jimmy,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,4,Activity W,2020-06-27 19:55:05:017,Evelin,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,5,Activity B,2020-06-27 20:22:42:418,Alpha,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity V', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Jamika'}}, {'name': 'Activity P', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
7,6,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:06:05:187,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:58:40:636,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:51:14:624,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:06:15:187,Keven,normal,normal,"-"
