case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:47:824,Doretta,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,2,Activity C,2020-06-27 15:02:58:454,Jack,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,3,Activity F,2020-06-27 15:48:14:828,Howard,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,4,Activity D,2020-06-27 16:43:29:630,Wilton,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,5,Activity J,2020-06-27 17:10:48:687,Velda,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,6,Activity B,2020-06-27 18:02:33:612,Michaele,normal,anomalous,"{'size': 2, 'start': 4, 'skipped': [{'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Maryellen'}}, {'name': 'Activity K', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}]}"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity O,2020-06-27 14:33:57:824,Ronald,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,2,Activity U,2020-06-27 15:17:42:174,Velda,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,3,Activity X,2020-06-27 16:04:28:417,Pam,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,4,Activity V,2020-06-27 16:55:54:595,Maryellen,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,5,Activity P,2020-06-27 17:33:42:499,Ryan,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,6,Activity B,2020-06-27 18:28:56:139,Alpha,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:34:07:824,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:18:22:751,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:06:03:549,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:34:17:824,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:02:19:544,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:56:12:782,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:45:53:435,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:43:42:610,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:34:22:850,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:32:46:148,Gema,normal,normal,"-"
