case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:18:248,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:41:01:913,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:33:46:471,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:21:10:657,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 19:52:20:539,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 20:47:29:618,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:39:04:372,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:29:31:953,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:28:36:660,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:13:38:777,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:28:248,Sherlene,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Paul']}"
2,2,Activity B,2020-06-27 17:37:26:703,Doretta,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Paul']}"
2,3,Activity C,2020-06-27 18:25:37:720,Brant,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Paul']}"
2,4,Activity D,2020-06-27 19:25:31:522,Lourdes,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Paul']}"
2,5,Activity E,2020-06-27 19:53:55:179,Howard,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Paul']}"
2,6,Activity T,2020-06-27 20:45:36:184,Ryan,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Paul']}"
2,7,Activity F,2020-06-27 21:30:35:234,Lisa,normal,anomalous,"{'index': [4], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Paul']}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:38:248,Sherlene,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,2,Activity B,2020-06-27 17:25:41:420,Earl,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,3,Activity C,2020-06-27 18:17:22:589,Brant,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,4,Activity D,2020-06-27 19:07:16:081,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,5,Activity E,2020-06-27 20:06:17:117,Tiffiny,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,6,Activity K,2020-06-27 20:51:40:082,Melany,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,7,Activity O,2020-06-27 21:24:08:223,Melany,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,8,Activity P,2020-06-27 21:46:37:404,Tiffiny,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
3,9,Activity L,2020-06-27 22:39:47:669,Amanda,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jimmy']}"
