case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:26:156,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:44:33:465,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:43:29:232,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:19:57:755,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:14:42:067,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:06:04:745,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:59:01:552,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:55:42:608,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:43:22:880,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:27:44:380,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:05:36:156,Sherlene,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
2,2,Activity C,2020-06-27 17:41:29:572,Brant,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
2,3,Activity D,2020-06-27 18:28:20:263,Lourdes,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
2,4,Activity B,2020-06-27 19:10:37:309,Doretta,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
2,5,Activity E,2020-06-27 19:43:49:936,Paul,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
2,6,Activity T,2020-06-27 20:43:17:670,Ryan,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
2,7,Activity F,2020-06-27 21:39:57:438,Lisa,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:46:156,Sherlene,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,2,Activity D,2020-06-27 17:34:25:059,Lourdes,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,3,Activity E,2020-06-27 18:33:32:131,Tiffiny,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,4,Activity K,2020-06-27 19:32:14:381,Melany,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,5,Activity B,2020-06-27 19:53:33:512,Earl,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,6,Activity C,2020-06-27 20:43:50:948,Brant,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,7,Activity O,2020-06-27 21:32:01:004,Melany,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,8,Activity P,2020-06-27 22:21:49:999,Jimmy,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,9,Activity L,2020-06-27 23:20:13:887,Amanda,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,10,Activity F,2020-06-27 23:55:28:754,Emily,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:56:156,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:42:17:681,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:33:49:557,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:14:22:963,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 19:49:52:497,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 20:44:37:934,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:39:29:132,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:02:59:196,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:02:51:807,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 23:53:59:259,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:06:06:156,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:32:10:374,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:30:14:708,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:02:31:497,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 19:38:43:482,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 20:33:15:113,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:21:03:893,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:00:21:100,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 22:50:05:450,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 23:29:35:614,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:16:156,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:55:47:444,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:45:16:350,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:22:01:385,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:21:26:020,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 21:14:33:094,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:45:45:052,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:06:26:156,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:54:09:326,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:52:29:585,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:39:25:896,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 20:33:57:545,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 21:30:34:128,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 22:08:22:631,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 22:36:33:965,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 23:33:21:316,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-28 00:18:16:552,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:06:36:156,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:39:38:849,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:30:28:583,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:17:58:595,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 19:38:37:083,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 20:35:44:155,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 21:15:47:392,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:06:46:156,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 17:53:27:626,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:41:35:534,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:20:03:712,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 19:46:06:750,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 20:44:33:928,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 21:30:50:186,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:09:18:815,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:02:45:165,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 23:57:12:799,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:06:56:156,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 17:29:17:444,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 18:27:30:545,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 19:08:21:135,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 19:36:31:064,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 20:31:35:490,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 21:04:36:389,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 21:37:14:812,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 22:33:17:179,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 23:24:11:521,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:07:06:156,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 17:54:41:685,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 18:48:49:517,James,normal,normal,"-"
11,4,Activity D,2020-06-27 19:32:40:820,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 20:00:01:225,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 20:59:32:958,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 21:43:36:132,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 22:27:10:631,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 23:14:29:138,Keven,normal,normal,"-"
11,10,Activity F,2020-06-27 23:54:11:114,Howard,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:07:16:156,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 17:41:21:501,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 18:39:36:755,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 19:13:15:116,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 19:35:02:577,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 20:21:07:495,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 20:58:00:862,James,normal,normal,"-"
12,8,Activity I,2020-06-27 21:17:01:511,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 22:02:03:588,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 22:43:16:028,Howard,normal,normal,"-"
12,11,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:07:26:156,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 17:48:17:975,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 18:45:43:602,James,normal,normal,"-"
13,4,Activity D,2020-06-27 19:28:03:418,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 20:11:45:582,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 20:57:49:668,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 21:42:35:529,James,normal,normal,"-"
13,8,Activity I,2020-06-27 22:26:37:420,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 23:14:17:770,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-27 23:58:42:243,Howard,normal,normal,"-"
13,11,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:07:36:156,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 17:25:54:576,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 18:24:40:838,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 19:24:16:519,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 20:08:24:165,Hugo,normal,normal,"-"
14,6,Activity G,2020-06-27 20:55:13:571,Elisha,normal,normal,"-"
14,7,Activity H,2020-06-27 21:36:18:605,Hoyt,normal,normal,"-"
14,8,Activity I,2020-06-27 22:18:36:860,Jack,normal,normal,"-"
14,9,Activity J,2020-06-27 23:18:06:380,Sonia,normal,normal,"-"
14,10,Activity F,2020-06-27 23:57:12:228,Howard,normal,normal,"-"
14,11,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:07:46:156,Sherlene,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,2,Activity D,2020-06-27 17:28:58:162,Lourdes,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,3,Activity B,2020-06-27 18:20:29:519,Earl,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,4,Activity C,2020-06-27 19:17:41:581,James,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,5,Activity E,2020-06-27 19:42:49:813,Gema,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,6,Activity K,2020-06-27 20:35:18:299,Pam,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,7,Activity M,2020-06-27 21:34:58:681,Issac,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,8,Activity N,2020-06-27 22:06:40:988,Sonia,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,9,Activity L,2020-06-27 23:01:57:558,Jack,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,10,Activity F,2020-06-27 23:50:14:763,Howard,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 2}"
15,11,■,,,,,""
16,0,▶,,,,,""
16,1,Activity C,2020-06-27 17:07:56:156,Donald,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,2,Activity D,2020-06-27 18:07:37:340,Lourdes,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,3,Activity E,2020-06-27 18:54:42:802,Della,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,4,Activity K,2020-06-27 19:30:41:368,Pam,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,5,Activity M,2020-06-27 20:14:24:543,Issac,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,6,Activity A,2020-06-27 21:11:23:405,Sherlene,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,7,Activity B,2020-06-27 21:52:30:115,Doretta,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,8,Activity N,2020-06-27 22:12:42:161,Sonia,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,9,Activity L,2020-06-27 23:10:36:509,Ling,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,10,Activity F,2020-06-28 00:03:15:384,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
16,11,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:08:06:156,Sherlene,normal,normal,"-"
17,2,Activity B,2020-06-27 18:07:49:005,Doretta,normal,normal,"-"
17,3,Activity C,2020-06-27 18:55:56:869,James,normal,normal,"-"
17,4,Activity D,2020-06-27 19:27:17:765,Lourdes,normal,normal,"-"
17,5,Activity E,2020-06-27 19:54:23:282,Della,normal,normal,"-"
17,6,Activity T,2020-06-27 20:48:14:838,Ryan,normal,normal,"-"
17,7,Activity F,2020-06-27 21:46:56:086,Lisa,normal,normal,"-"
17,8,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:08:16:156,Sherlene,normal,normal,"-"
18,2,Activity B,2020-06-27 17:55:50:788,Doretta,normal,normal,"-"
18,3,Activity C,2020-06-27 18:47:39:052,Brant,normal,normal,"-"
18,4,Activity D,2020-06-27 19:44:40:689,Lourdes,normal,normal,"-"
18,5,Activity E,2020-06-27 20:39:05:699,Della,normal,normal,"-"
18,6,Activity T,2020-06-27 21:29:30:094,Ryan,normal,normal,"-"
18,7,Activity F,2020-06-27 22:22:07:542,Lisa,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:08:26:156,Sherlene,normal,normal,"-"
19,2,Activity B,2020-06-27 17:28:06:212,Earl,normal,normal,"-"
19,3,Activity C,2020-06-27 18:23:21:054,Brant,normal,normal,"-"
19,4,Activity D,2020-06-27 19:09:50:807,Lourdes,normal,normal,"-"
19,5,Activity E,2020-06-27 19:55:35:810,Paul,normal,normal,"-"
19,6,Activity T,2020-06-27 20:51:01:176,Ryan,normal,normal,"-"
19,7,Activity F,2020-06-27 21:38:40:021,Lisa,normal,normal,"-"
19,8,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:08:36:156,Sherlene,normal,normal,"-"
20,2,Activity B,2020-06-27 17:30:58:140,Earl,normal,normal,"-"
20,3,Activity C,2020-06-27 18:22:50:734,Brant,normal,normal,"-"
20,4,Activity D,2020-06-27 19:06:48:883,Lourdes,normal,normal,"-"
20,5,Activity E,2020-06-27 19:58:22:124,Gema,normal,normal,"-"
20,6,Activity K,2020-06-27 20:57:13:742,Pam,normal,normal,"-"
20,7,Activity M,2020-06-27 21:29:28:377,Issac,normal,normal,"-"
20,8,Activity N,2020-06-27 22:10:42:784,Sonia,normal,normal,"-"
20,9,Activity L,2020-06-27 23:05:43:245,Keven,normal,normal,"-"
20,10,Activity F,2020-06-27 23:51:31:366,Howard,normal,normal,"-"
20,11,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 17:08:46:156,Sherlene,normal,normal,"-"
21,2,Activity B,2020-06-27 17:35:14:544,Earl,normal,normal,"-"
21,3,Activity C,2020-06-27 18:31:06:344,James,normal,normal,"-"
21,4,Activity D,2020-06-27 19:25:05:505,Lourdes,normal,normal,"-"
21,5,Activity E,2020-06-27 19:56:26:190,Tiffiny,normal,normal,"-"
21,6,Activity K,2020-06-27 20:44:12:817,Melany,normal,normal,"-"
21,7,Activity O,2020-06-27 21:16:20:214,Melany,normal,normal,"-"
